"episode","actor","time_stamp","description","guest"
1,"Laura","1:17:25","Charisma check: ""I'll fight this bear!""",0
1,"Liam","2:25:08","Initiative vs. Goblins and Trolls",0
1,"Taliesin","2:34:53","Insight vs. Fleeing goblins",0
1,"Liam","2:38:41","1st Poison Dagger attack vs. Ogre",0
1,"Marisha","2:54:08","Con save vs. Naga poison",0
2,"Laura","0:42:08","Looking for entrance to House Thunderbrand",0
2,"Laura","1:15:54","Looking for tracks",0
2,"Taliesin","1:56:49","Jamming second shot vs. Umber hulk",0
2,"Travis","2:06:21","Confused attack vs. Tiberius (technically a win!",0
3,"Laura","0:23:32","Religion Check vs. Bahamut symbol",0
3,"Marisha","0:55:48","Check for bats",0
3,"Taliesin","1:30:06","Intelligence check about Mind Flayers",0
3,"Liam","1:54:14","Dex check vs. Fall (negated by advantage",0
3,"Taliesin","2:29:15","Insight vs. Clarota",0
4,"Travis","1:10:37","Stealth check",0
4,"Ashley","1:10:37","Stealth check",0
4,"Marisha","1:30:35","Secondary stealth check vs. Duergar Camp",0
4,"Liam","1:44:30","Stealth vs. Mind Flayer (negated by advantage",0
4,"Marisha","2:11:01","Stealth check vs. Bulette",0
5,"Laura","0:53:30","Acrobatics vs. plummeting flying carpet",0
5,"Laura","1:10:05","Stealth vs. Duergar patrol",0
6,"Sam","0:51:33","Stealth check approaching the red spire",0
6,"Taliesin","1:00:51","Second communal stealth check (group succeeded overall",0
6,"Laura","1:09:50","Investigation vs. lava flow (negated by advantage",0
6,"Laura","1:35:05","Attack vs. Duergar guard",0
6,"Liam","2:29:24","Picking Kima’s locks",0
7,"Orion","0:21:30","Group Perception check for guards",0
7,"Ashley","1:07:23","Saving throw vs. Surprise Mind Blast",0
7,"Liam","1:38:12","Perception vs. Duergar Armory",0
8,"Trinket","1:05:25","Stealth check",0
8,"Taliesin","1:37:05","Initiative Roll",0
8,"Liam","1:47:47","Attack vs. Abyssal Abomination",0
9,"Laura","00:29:10","Attack vs. duergar",0
9,"Liam","2:15:10","Con save vs. curse of gold dwarven armor",0
9,"Liam","2:25:55","Perception check on beach",0
10,"Liam","1:01:52","Attack vs. Cloaker in darkness (disadvantage",0
10,"Taliesin","1:06:22","Wis save vs. Cloaker’s cry",0
10,"Sam","2:52:54","Stealth Check (Negated by advantage, invisibility",0
11,"Laura","0:15:04","Acrobatics vs. Fomorian (negated by advantage",0
11,"Liam","0:17:04","Con save vs. Fomorian’s “nasty ass scent”",0
11,"Liam","0:22:58","Attack vs. Fomorian",0
11,"Sam","0:45:20","Initiative vs. Fomorian",0
11,"Sam","1:16:35","History check on Fomorians (strengths and weaknesses",0
11,"Trinket","2:36:25","Stealth check while flying to the temple",0
11,"Travis","4:14:22","Axe throw with chain of returning vs. K'varn (chain breaks",0
11,"Liam","4:18:20","Dagger attack vs. K'varn (negated by Luck",0
11,"Liam","4:18:33","Dagger attack vs. K'varn",0
13,"Ashley","0:50:01","Wis save vs. stun",0
13,"Travis","0:57:12","Breaking the grapple vs. experiment",0
14,"Taliesin","1:10:51","Insight check vs. Sovereign Uriel about Briarwoods",0
15,"Ashley","2:33:41","Attack vs. wyvern",0
15,"Trinket","2:37:54","Attack vs. wyvern",0
15,"Orion","2:55:14","Acrobatics to avoid falling down the stairs",0
16,"Travis","0:14:50","Sleep check vs. Rope beard",0
16,"Laura","0:43:30","Stealth across Vasselheim’s rooftops",0
16,"Liam","1:23:13","Perception check vs. mist room",0
16,"Taliesin","2:17:25","Con save vs. Spider poison",0
17,"Liam","2:22:27","Dagger against Hydra",0
17,"Laura","2:39:19","Misfiring the exploding arrow",0
17,"Taliesin","2:45:46","Wis save vs. Hold Person",0
18,"Guests","0:49:50","Religion check on statue",1
19,"Travis","0:16:10","Persuasion vs. frost giants",0
19,"Travis","0:41:30","Persuasion vs. frost giants",0
19,"Guests","0:50:20","Perception check in mountain",1
19,"Guests","1:59:35","Initiative vs. Rimefang (-1 after modifier!",1
20,"Guests","1:07:38","Intimidation vs. Bastion officers",1
20,"Guests","1:23:01","History check on Lord Tirell",1
20,"Guests","2:36:06","Axe vs. Door… But actually Wall",1
