"file_name","Time","Character","Type.of.Roll","Total.Value","Natural.Value","Crit.","Damage","X..Kills","Notes","roll"
"1","0:37:53","Vex'ahlia","Intelligence","20","18",NA,NA,NA,"FIRST ROLL OMG",1
"1","0:41:48","Grog","Persuasion","19","18",NA,NA,NA,NA,1
"1","0:43:25","Keyleth","Persuasion","2","2",NA,NA,NA,NA,1
"1","0:46:35","Tiberius","Persuasion","12","3",NA,NA,NA,"Disregarded due to advantage",1
"1","0:46:35","Tiberius","Persuasion","27","18",NA,NA,NA,NA,1
"1","0:46:35","Percy","Assist","21","15",NA,NA,NA,NA,1
"1","0:47:52","Keyleth","Insight","27","17",NA,NA,NA,NA,1
"1","1:00:35","Vex'ahlia","Persuasion","21","18",NA,NA,NA,NA,1
"1","1:05:16","Vex'ahlia","Stealth","15","6",NA,NA,NA,NA,1
"1","1:05:16","Vax'ildan","Stealth","20","7",NA,NA,NA,NA,1
"1","1:05:16","Scanlan","Constitution","20","18",NA,NA,NA,NA,1
"1","1:07:32","Tiberius","Perception","5","8",NA,NA,NA,NA,1
"1","1:08:18","Tiberius","Dexterity Save","15","12",NA,NA,NA,NA,1
"1","1:12:39","Tiberius","Intimidation","18","13",NA,NA,NA,NA,1
"1","1:13:24","Tiberius","Persuasion","24","13",NA,NA,NA,NA,1
"1","1:17:29","Vex'ahlia","Charisma","Nat1","1",NA,NA,NA,"FIRST CRIT FAIL",1
"1","1:19:58","Vax'ildan","Stealth","Unknown","Unknown",NA,NA,NA,"Disregarded due to advantage",1
"1","1:19:58","Vax'ildan","Stealth","21","8",NA,NA,NA,"With Advantage",1
"1","1:20:40","Vax'ildan","Attack","Unknown","4",NA,NA,NA,"Disregarded due to advantage",1
"1","1:20:40","Vax'ildan","Attack","26","15",NA,NA,NA,"Dagger Handle With advantage",1
"1","1:21:30","Vax'ildan","Damage","27",NA,NA,NA,NA,"FIRST DAMAGE",1
"1","1:22:15","Vax'ildan","Acrobatics","30","17",NA,NA,NA,NA,1
"1","1:24:15","Keyleth","Performance","Nat20","20",NA,NA,NA,"FIRST NAT 20",1
"1","1:26:49","Vax'ildan","Persuasion","15","13",NA,NA,NA,"Disregarded due to advantage",1
"1","1:26:49","Vax'ildan","Persuasion","15","13",NA,NA,NA,"Wirh advantage",1
"1","1:48:38","Tiberius","Persuasion","19","10",NA,NA,NA,NA,1
"1","1:50:07","Vex'ahlia","Persuasion","23","16",NA,NA,NA,NA,1
"1","1:59:06","Scanlan","Stealth","16","14",NA,NA,NA,"Disregarded due to advantage",1
"1","1:59:18","Scanlan","Stealth","16","14",NA,NA,NA,"With advantage",1
"1","2:02:41","Scanlan","Dexterity","Unknown","Unknown",NA,NA,NA,"Disregarded due to disadvantage",1
"1","2:02:41","Scanlan","Dexterity","11","11",NA,NA,NA,"With disadvantage",1
"1","2:19:48","Vax'ildan","Stealth","13","4",NA,NA,NA,NA,1
"1","2:23:18","Percy","Attack","19","7",NA,NA,"1","Pepperbox",1
"1","2:23:18","Vex'ahlia","Attack","15","4",NA,NA,"1","Arrow",1
"1","2:23:18","Vax'ildan","Attack","19","9",NA,NA,"1","Dagger",1
"1","2:25:06","Grog","Initiative","18","16",NA,NA,NA,NA,1
"1","2:25:06","Keyleth","Initiative","4","2",NA,NA,NA,NA,1
"1","2:25:06","Percy","Initiative","27","20",NA,NA,NA,NA,1
"1","2:25:06","Scanlan","Initiative","3","3",NA,NA,NA,NA,1
"1","2:25:06","Tiberius","Initiative","21","19",NA,NA,NA,NA,1
"1","2:25:06","Vax'ildan","Initiative","6","1",NA,NA,NA,NA,1
"1","2:25:06","Vex'ahlia","Initiative","18","13",NA,NA,NA,NA,1
"1","2:27:50","Percy","Attack","30","19","Y",NA,NA,"Bad News, FIRST CRIT",1
"1","2:28:30","Percy","Damage","27",NA,NA,"27 to Ogre",NA,NA,1
