"episode","actor","time_stamp","description","guest"
1,"Marisha","1:23:58","Performance as “Trinket”",0
1,"Taliesin","2:25:08","Initiative vs. Goblins and Ogres",0
1,"Travis","2:34:53","Insight vs. Fleeing goblins",0
1,"Liam","2:38:48","2nd poison dagger attack vs. Ogre",0
1,"Orion","2:48:00","2nd scorching ray vs. Naga Abomination",0
2,"Liam","0:55:47","Persuasion vs. Master Thunderbrand (negated by disadvantage",0
2,"Marisha","2:16:13","Grappling the Umber Hulk as a bear",0
2,"Taliesin","2:27:26","Shot vs. Umber Hulk (negated by disadvantage, still crit at 19",0
2,"Laura","2:39:10","Stealth vs. Duergar (negated by disadvantage",0
3,"Liam","0:38:30","Stealthing in the Underdark",0
3,"Laura","0:53:02","Stealth check vs. Duergar camp",0
3,"Laura","2:00:38","Perception for carpet",0
4,"Ashley","0:22:59","Religion check vs. Kima’s carving",0
4,"Ashley","0:39:40","Assist Scanlan (negated b/c too late",0
4,"Orion","1:30:30","Secondary stealth check vs. Duergar Camp",0
4,"Liam","1:48:16","Initiative vs. Duergar General and crew",0
4,"Taliesin","1:57:08","Shot vs. Duergar General",0
4,"Sam","2:11:01","Stealth check vs. Bulette",0
4,"Laura","2:22:24","Second attack vs. Bulette",0
4,"Travis","2:46:44","Third attack vs. Bulette",0
5,"Liam","0:20:30","Intimidation vs. Duergar general",0
5,"Ashley","0:42:54","Stealth to leave the Duergar warcamp via flying carpet",0
5,"Liam","1:59:30","Bonus action to hide from ogres in battle",0
6,"Taliesin","1:05:40","Nature check vs. basilisks",0
7,"Liam","0:29:43","Sneak attack vs. Duergar Smithy",0
7,"Orion","0:33:34","Stealth check",0
7,"Taliesin","0:38:15","Gun butt vs. Duergar Guard",0
7,"Liam","0:42:11","Perception check vs. Commode Door",0
7,"Sam","2:45:22","Initiative vs. Throne Room",0
7,"Marisha","2:56:02","Dex save vs. Vex’s Conjure Barrage",0
7,"Travis","3:14:16","FBWH against Queen Ulara",0
7,"Laura","3:18:51","Hail of Thorns vs. Duergar Queen",0
7,"Sam","3:36:19","Beheading the Duergar King (HDYWTDT",0
7,"Taliesin","3:43:23","Dex check vs. Magma Flow",0
7,"Liam","3:43:23","Dex check vs. Magma Flow",0
7,"Sam","3:46:09","Dex check vs. Magma Flow",0
8,"Taliesin","0:21:17","Initiative vs. Duergar",0
8,"Liam","2:10:01","Grapple check vs. Abyssal Abomination",0
8,"Taliesin","2:39:10","Bad News shot (HDYWTDT",0
9,"Liam","0:30:17","Dagger vs. Duergar (sneak attack and kill",0
9,"Taliesin","0:42:45","Attack vs. Mind flayer (with pepperbox",0
9,"Laura","2:25:55","Perception check into water while on a beach to spot boats",0
9,"Sam","2:47:16","Stealth check when entering a cave",0
10,"Laura","0:35:29","Attack vs. Zombies",0
10,"Ashley","0:48:03","Initiative vs. Cloaker",0
10,"Liam","0:48:18","Initiative vs. Cloaker",0
10,"Orion","1:21:50","Arcana check",0
10,"Laura","2:47:32","Stealth Check",0
11,"Laura","0:28:08","Sleep arrow vs Fomorian (didn’t work because high HP",0
11,"Sam","0:35:15","Acrobatics while jumping into the Fomorian’s pit",0
11,"Travis","1:51:20","Headbutt vs the Fomorian after it drank all his ale",0
11,"Liam","3:24:50","Athletics check to swing on rope to attack K'varn",0
11,"Travis","3:44:22","Athletics check to grab K'varns horn after being thrown by Keyleth",0
11,"Orion","3:47:00","Perception check over Illithid city",0
11,"Travis","4:00:37","Strength save vs. K'varn's telekinesis ray",0
11,"Liam","4:22:44","Wisdom save vs. K'varn's fear ray",0
13,"Orion","0:33:18","Intelligence save vs. Mind Flayer betrayal",0
13,"Liam","0:54:52","Intelligence save vs. Intellect Devourer",0
13,"Sam","0:55:46","Wisdom save vs. mind stun",0
14,"Taliesin","1:27:05","Deception check vs. Sovereign Uriel about Briarwoods",0
15,"Taliesin","0:53:30","Constructing exploding arrow",0
15,"Orion","2:44:25","Telekineses vs. pirate elf",0
15,"Travis","2:46:10","Frenzied attack vs. wyvern",0
16,"Marisha","0:53:51","Eagle-eyed perception check",0
16,"Liam","1:29:45","Dex save vs. Pillar trap",0
16,"Ashley","2:04:36","Initiative vs. Spiders",0
16,"Marisha","2:13:40","Nature check vs. Spiders",0
16,"Travis","2:27:50","Stealth check vs. Spiders",0
16,"Ashley","2:42:45","Wisdom check vs. Misty Room of Fire",0
17,"Orion","0:23:10","Religion check vs. Statue",0
17,"Taliesin","0:23:10","Religion check vs. Statue",0
17,"Laura","2:05:13","Tracking the Hydra",0
17,"Laura","2:13:39","Stealth vs. Hydra",0
17,"Orion","2:35:33","Telekinesis vs. Hydra head",0
17,"Laura","2:40:00","Dex save vs. exploding arrow",0
17,"Taliesin","2:48:28","Wis save to shrug off Hold Person",0
18,"Taliesin","1:44:27","Attack vs. Ogrillon with pepperbox",0
18,"Taliesin","1:46:51","Attack vs. orc with pepperbox",0
18,"Taliesin","2:04:52","Attack vs. orc 2 with pepperbox",0
18,"Laura","2:23:56","Con save vs. cold weather",0
19,"Taliesin","00:11:35","Initiative vs. Frost Giants",0
19,"Guests","00:11:35","Initiative vs. Frost Giants",1
19,"Laura","1:51:27","Stealth check in Rimefang's lair",0
19,"Taliesin","1:59:35","Initiative vs. Rimefang",0
19,"Laura","1:59:35","Initiative vs. Rimefang",0
19,"Sam","2:08:00","Wis save, resist Terrifying Presence",0
19,"Taliesin","2:21:58","Attack vs. Rimefang (negated by disadvantage",0
19,"Trinket","2:27:04","Wis save vs. fear",0
19,"Taliesin","2:45:40","Wis save vs. fear (after bomb detonation",0
19,"Travis","2:54:48","Scanlan bowling",0
19,"Laura","3:08:08","Wis save vs. fear",0
19,"Laura","3:35:27","Perception check for “shinies” in Rimefang's lair",0
20,"Liam","2:33:35","Check for traps in Velvet Cabaret",0
21,"Guests","0:11:17","Initiative vs. Otyugh",1
21,"Marisha","1:02:01","Investigation vs. Cells",0
21,"Liam","1:02:58","Lockpick vs. cell door",0
21,"Orion","2:23:15","Perception vs. Anti-magic field",0
21,"Guests","2:48:32","Insight vs. Hotis",1
21,"Liam","3:15:27","Dominated attack vs. Kashaw",0
21,"Marisha","3:50:01","Extracting eyes (with advantage",0
21,"Marisha","3:50:17","Extracting tongue (first roll, with advantage",0
22,"Laura","0:20:23","Religion check vs. Ioun symbol",0
22,"Laura","1:50:00","Warhorse negotiation",0
22,"Ashley","3:14:50","Stealth vs. Red Dragon (negated by disadvantage",0
22,"Laura","3:27:42","Attack vs. Elemental 2",0
22,"Liam","3:59:54","Attack vs. Elemental 1",0
23,"Laura","0:26:56","Sleight of Hand to Hunter’s Mark one of the Bastion",0
23,"Travis","0:56:27","Flying kick vs. Kern (negated by disadvantage",0
23,"Liam","2:49:50","Persuasion on Kynan (with Luck",0
24,"Orion","1:31:16","Farting while Vax sneaks off. Yes, really.",0
24,"Liam","1:34:36","Stealthing to the butcher’s",0
24,"Liam","2:35:33","Stealthing upon sleeping Grog (with advantage",0
24,"Laura","2:43:00","Training Trinket to Cannonball (with advantage",0
24,"Laura","3:39:37","Stealthily casting Hunter’s Mark on Lady Briarwood.",0
25,"Laura","0:59:02","Lightning Arrow vs. Lady Briarwood",0
25,"Laura","1:00:52","Second attack vs. Lady Briarwood",0
25,"Guests","2:43:08","Initiative vs. The Broker",1
25,"Taliesin","3:06:28","Overkill vs. The Broker",0
26,"Sam","3:02:30","Concentration to turn into a pterodactyl cow",0
27,"Taliesin","0:20:39","Initiative vs. Invisible Stalkers",0
27,"Trinket","0:27:09","2nd Attack vs. Invisible Stalker",0
27,"Trinket","0:37:05","Bite Attack vs. Invisible Stalker (negated by disadvantage",0
27,"Liam","1:10:01","Persuasion vs. Desmond’s trepidation (with Luck",0
27,"Sam","1:11:54","Stealth check to sleep under Percy’s workbench",0
27,"Marisha","2:34:13","Enchanting a vial of holy water with Fog",0
27,"Sam","3:12:25","Eavesdropping on Percy and Keyleth",0
27,"Laura","3:21:31","Perception vs. Behir",0
27,"Liam","3:21:31","Perception vs. Behir",0
28,"Travis","0:42:52","Breaking the grapple vs. the behir",0
28,"Marisha","1:00:32","Harvesting the behir’s lightning gland (with advantage",0
28,"Travis","1:14:14","Int check vs. Stone Giant Fortress",0
28,"Liam","1:32:57","Stealth vs. murder of crows",0
28,"Taliesin","1:49:22","Perception vs. Wolf pack hunter",0
28,"Laura","2:28:05","Stealth into Whitestone",0
28,"Liam","2:28:18","Stealth into Whitestone (with Luck",0
29,"Liam","0:29:54","Picking the door’s lock (negated by lack of lock",0
29,"Liam","0:54:12","Initiative vs. Banshee",0
29,"Taliesin","0:54:54","Wis save vs. Banshee (with advantage",0
29,"Liam","0:57:20","Dagger vs. Banshee (negated since stake, not dagger",0
29,"Taliesin","3:02:31","Headshot vs. Sir Stonefell",0
29,"Taliesin","3:21:24","Killing shot vs. Sir Stonefell",0
29,"Marisha","3:27:58","Attack of Opportunity vs. Vouk",0
29,"Travis","3:45:38","Ripping out Vouk’s tongue",0
30,"Laura","0:47:52","Blazing Bowstring vs. Vampire 3",0
31,"Taliesin","1:20:57","Third Hexed shot vs. Count’s Guard",0
31,"Trinket","1:32:11","HDYWTDT vs. Count Tylieri",0
