"","arc","arc_no","episode","turn_number","segment","actor","text","start_turn","end_turn","time_in_sec","word_count","words_per_minute","encounter_count","rp_combat","actor_guest","vox_machina","guest","staff","matt"
"1","Daring_Deeds",7,93,1,"prologue","MATT","where a bunch of us nerdy-ass voice actors sit around and play dungeons and dragons.",2.347,8.233,5.886,17,173.29255861366,NA,"role_play","MATT",0,0,0,1
"2","Daring_Deeds",7,93,2,"prologue","MATT","why's everyone laughing? so yes! we're going to hop in here, but before we do, we have some quick announcements to get through. first and foremost, we have a survey that we put up a couple of weeks ago. it ends april 18th. if you happen to have an opportunity, please go ahead and put in your information, let us know where you're from, how much of the show you've watched, what kind of future things from critical role you'd like to see. it's us getting a feel for the size and spread of the community and it's very helpful and awesome. so you can check that out at geekandsundry.com/crsurvey. you'll probably see the link in chat as well, please do that if you haven't yet, that'd be awesome! you have until april 18th. as far as merch goes, we're still out of stock on dice, i believe?",8.233,50.028,41.795,162,232.56370379232,NA,"role_play","MATT",0,0,0,1
"3","Daring_Deeds",7,93,3,"prologue","LAURA","no!",50.028,50.89,0.862000000000002,2,139.211136890951,NA,"role_play","LAURA",1,0,0,0
"4","Daring_Deeds",7,93,4,"prologue","MATT","no?",50.89,51.751,0.860999999999997,2,139.372822299652,NA,"role_play","MATT",0,0,0,1
"5","Daring_Deeds",7,93,5,"prologue","LAURA","there's officially 30 sets left, according to",51.751,53.957,2.206,8,217.588395285584,NA,"role_play","LAURA",1,0,0,0
"6","Daring_Deeds",7,93,6,"prologue","SAM","30 sets?",53.957,55.237,1.28,3,140.625,NA,"role_play","SAM",1,0,0,0
"7","Daring_Deeds",7,93,7,"prologue","LAURA","30 sets.",55.237,56.242,1.005,3,179.104477611941,NA,"role_play","LAURA",1,0,0,0
"8","Daring_Deeds",7,93,8,"prologue","LIAM","sorry, they're gone.",56.242,58.63,2.38800000000001,5,125.628140703517,NA,"role_play","LIAM",1,0,0,0
"9","Daring_Deeds",7,93,9,"prologue","LAURA","there are 30 sets left in the store, we will be ordering more. so there will be more, but i don't know when that's, you know, going to come in. so 30 sets for the time being.",58.63,65.768,7.138,40,336.228635472121,NA,"role_play","LAURA",1,0,0,0
"10","Daring_Deeds",7,93,10,"prologue","MATT","fantastic. thank you laura. yes. taliesin! wednesday club coming up, right?",65.768,74.699,8.931,12,80.6180718844475,NA,"role_play","MATT",0,0,0,1
"11","Daring_Deeds",7,93,11,"prologue","TALIESIN","there is a wednesday club. we're doing comics 101, it's going to be our intro to how to read comics! the notion is like the show that you would show your grandmother, or your friend who's never apparently seen a written word next to a picture before. they do exist! i'm sadly not going to be there, but amy and matt are going to throw together something really, really awesome, and i'm going to be helping out from the sidelines, throwing them stuff, because i'm going to be out of town. but yay.",74.699,99.144,24.445,100,245.44896706893,NA,"role_play","TALIESIN",1,0,0,0
"12","Daring_Deeds",7,93,12,"prologue","MATT","awesome. speaking of taliesin and a different matt, we're both going to be on eric's tbd rpg tomorrow at noon pacific time.",99.144,107.75,8.60599999999999,25,174.297002091564,NA,"role_play","MATT",0,0,0,1
"13","Daring_Deeds",7,93,13,"prologue","SAM","oh. the dice are gone.",107.75,109.633,1.883,6,191.184280403612,NA,"role_play","SAM",1,0,0,0
"14","Daring_Deeds",7,93,14,"prologue","MATT","the dice are gone.",109.633,110.812,1.179,5,254.452926208651,NA,"role_play","MATT",0,0,0,1
"15","Daring_Deeds",7,93,15,"prologue","NOELLE","just now.",110.812,111.95,1.13800000000001,3,158.17223198594,NA,"role_play","GUESTS",0,1,0,0
"16","Daring_Deeds",7,93,16,"prologue","MATT","well done. jesus.",111.95,114.03,2.08,4,115.384615384615,NA,"role_play","MATT",0,0,0,1
"17","Daring_Deeds",7,93,17,"prologue","LAURA","good job, guys that got them!",114.03,117.164,3.134,7,134.01403956605,NA,"role_play","LAURA",1,0,0,0
"18","Daring_Deeds",7,93,18,"prologue","MATT","yay! we'll have more soon! but we'll both be on eric's tbd rpg tomorrow at noon, here at geek and sundry, pacific time for the doctor who rpg. i'll be returning as my character meatstick, the",117.164,130.178,13.014,40,184.416781927155,NA,"role_play","MATT",0,0,0,1
"19","Daring_Deeds",7,93,19,"prologue","TRAVIS","meatstick?",130.178,131.203,1.02500000000001,2,117.073170731707,NA,"role_play","TRAVIS",1,0,0,0
"20","Daring_Deeds",7,93,20,"prologue","MATT","meatstick, yeah. he's a heavily experimented-on ood who is massively buff and looks kind of like nemesis from resident evil 3. but with more of a tentacle mouth. so that'll be fun!",131.203,141.22,10.017,36,215.633423180593,NA,"role_play","MATT",0,0,0,1
"21","Daring_Deeds",7,93,21,"prologue","TALIESIN","yes! i'll be doing my old man voice. it's very fun, yes.",141.22,143.664,2.44399999999999,15,368.248772504093,NA,"role_play","TALIESIN",1,0,0,0
"22","Daring_Deeds",7,93,22,"prologue","MATT","i know it is, and i believe darin de paul will be joining us as well.",143.664,147.406,3.74200000000002,17,272.581507215391,NA,"role_play","MATT",0,0,0,1
"23","Daring_Deeds",7,93,23,"prologue","TALIESIN","i think he's a maybe.",147.406,148.979,1.57300000000001,7,267.005721551175,NA,"role_play","TALIESIN",1,0,0,0
"24","Daring_Deeds",7,93,24,"prologue","MATT","maybe? he's supposed to be. i think he might be a little late. i'll check in.",148.979,151.299,2.31999999999999,19,491.379310344829,NA,"role_play","MATT",0,0,0,1
"25","Daring_Deeds",7,93,25,"prologue","MARISHA","i think he's going to be on. i think. pretty sure.",151.299,153.935,2.636,13,295.902883156298,NA,"role_play","MARISHA",1,0,0,0
"26","Daring_Deeds",7,93,26,"prologue","MATT","mystery! abound! marisha! new signal boost, went up this week?",153.935,159.892,5.95699999999999,11,110.794023837502,NA,"role_play","MATT",0,0,0,1
"27","Daring_Deeds",7,93,27,"prologue","MARISHA","yes! it's... me!",159.892,163.66,3.768,5,79.6178343949044,NA,"role_play","MARISHA",1,0,0,0
"28","Daring_Deeds",7,93,28,"prologue","MATT","full circle!",163.66,164.705,1.04500000000002,3,172.248803827749,NA,"role_play","MATT",0,0,0,1
"29","Daring_Deeds",7,93,29,"prologue","MARISHA","again! i'm back! go watch actually, we're going to be playing it over the course of the break. so that we have a break.",164.705,173.149,8.44399999999999,27,191.852202747513,NA,"role_play","MARISHA",1,0,0,0
"30","Daring_Deeds",7,93,30,"prologue","MATT","you should watch it.",173.149,174.274,1.125,5,266.666666666667,NA,"role_play","MATT",0,0,0,1
"31","Daring_Deeds",7,93,31,"prologue","MARISHA","so you'll watch it over the course of the break.",174.274,175.451,1.17699999999999,12,611.72472387426,NA,"role_play","MARISHA",1,0,0,0
"32","Daring_Deeds",7,93,32,"prologue","MATT","it's only getting weirder, folks.",175.451,177.338,1.887,7,222.575516693164,NA,"role_play","MATT",0,0,0,1
"33","Daring_Deeds",7,93,33,"prologue","MARISHA","it's getting really weird. you can tell it's such an outlet for us of the creative team. it's got a lot of meta things going on, reflecting our day-to-day lives. it always has been. it's great.",177.338,191.73,14.392,43,179.266259032796,NA,"role_play","MARISHA",1,0,0,0
"34","Daring_Deeds",7,93,34,"prologue","MATT","i will be at sakura-con by the way, next weekend. april 14th through the 16th up in seattle. be doing some panels, signings, and fun stuff, so if you guys are up in the seattle area next weekend, come say hi! it'll be fun. sorry, pardon my belch. snuck up on me. and once again, will friedle is going to be at the wales comic con, april 8th and 9th. real soon. so if you're near wales, go say hi to will, give him a bunch of really large presents that he can't bring back on the plane, they will become his problem. so, that's my recommendation. fuck that guy, exactly. and a reminder: me, taliesin, and marisha will be guests at momocon, may 25th to the 28th in atlanta, georgia! so if you're in that area, other side of the country, come say hi then! because that'd be fun.",191.73,236.468,44.738,158,211.900397872055,NA,"role_play","MATT",0,0,0,1
"35","Daring_Deeds",7,93,35,"prologue","TALIESIN","yeah.",236.468,237.743,1.27500000000001,2,94.1176470588231,NA,"role_play","TALIESIN",1,0,0,0
"36","Daring_Deeds",7,93,36,"prologue","MATT","and talks machina, of course, every tuesday, at 7pm pacific here on twitch and alpha, where we talk about next week, we'll be talking about this episode! and the episode before that a little bit, probably, too.",237.743,248.695,10.952,39,213.659605551497,NA,"role_play","MATT",0,0,0,1
"37","Daring_Deeds",7,93,37,"prologue","MARISHA","yeah. i hope everyone liked the panel, by the way.",248.695,250.455,1.76000000000002,11,374.999999999996,NA,"role_play","MARISHA",1,0,0,0
"38","Daring_Deeds",7,93,38,"prologue","MATT","the panel went great! we had a great turnout at wondercon!",250.455,252.354,1.899,12,379.146919431279,NA,"role_play","MATT",0,0,0,1
"39","Daring_Deeds",7,93,39,"prologue","MARISHA","yeah, thanks everybody who came!",252.354,254.047,1.69299999999998,6,212.64028352038,NA,"role_play","MARISHA",1,0,0,0
"40","Daring_Deeds",7,93,40,"prologue","TALIESIN","it was super cool.",254.047,255.169,1.12200000000001,5,267.379679144382,NA,"role_play","TALIESIN",1,0,0,0
"41","Daring_Deeds",7,93,41,"prologue","MATT","like we kind of filled the arena. i had this big fear we were going to get up on stage and it was going to be, like, seven people in the front row and just empty space.",255.169,260.543,5.374,38,424.264979531076,NA,"role_play","MATT",0,0,0,1
"42","Daring_Deeds",7,93,42,"prologue","MARISHA","apparently 2,800.",260.543,262.146,1.60300000000001,4,149.71927635683,NA,"role_play","MARISHA",1,0,0,0
"43","Daring_Deeds",7,93,43,"prologue","SAM","oh wow!",262.146,263.192,1.04599999999999,3,172.084130019122,NA,"role_play","SAM",1,0,0,0
"44","Daring_Deeds",7,93,44,"prologue","MARISHA","2,800 strong.",263.192,264.489,1.29699999999997,4,185.042405551277,NA,"role_play","MARISHA",1,0,0,0
"45","Daring_Deeds",7,93,45,"prologue","MATT","jesus.",264.489,265.491,1.00200000000001,2,119.760479041915,NA,"role_play","MATT",0,0,0,1
"46","Daring_Deeds",7,93,46,"prologue","LAURA","you critters!",265.491,266.961,1.47000000000003,3,122.448979591834,NA,"role_play","LAURA",1,0,0,0
"47","Daring_Deeds",7,93,47,"prologue","MARISHA","yeah, so many critters.",266.961,268.401,1.44,5,208.333333333334,NA,"role_play","MARISHA",1,0,0,0
"48","Daring_Deeds",7,93,48,"prologue","MATT","so thanks for coming, guys!",268.401,269.805,1.404,6,256.410256410257,NA,"role_play","MATT",0,0,0,1
"49","Daring_Deeds",7,93,49,"prologue","LIAM","great costumes, lots of cosplay.",269.805,271.532,1.72699999999998,6,208.453966415753,NA,"role_play","LIAM",1,0,0,0
"50","Daring_Deeds",7,93,50,"prologue","TRAVIS","oh, brian wayne foster also said the wondercon panel will be on gands's youtube friday at 8pm, in case you missed it on talks machina.",271.532,276.894,5.36200000000002,27,302.126072361058,NA,"role_play","TRAVIS",1,0,0,0
"51","Daring_Deeds",7,93,51,"prologue","MATT","great, so you can check it out then. and i believe, unless i'm mistaken, that's it. anything else anyone wants to talk about? noelle, anything you want to talk about?",276.971,285.88,8.90899999999999,33,222.247165787406,NA,"role_play","MATT",0,0,0,1
"52","Daring_Deeds",7,93,52,"prologue","NOELLE","i had a great day today",285.88,287.692,1.81200000000001,6,198.67549668874,NA,"role_play","GUESTS",0,1,0,0
"53","Daring_Deeds",7,93,53,"prologue","MATT","awesome!",287.692,288.67,0.978000000000009,2,122.699386503066,NA,"role_play","MATT",0,0,0,1
"54","Daring_Deeds",7,93,54,"prologue","NOELLE","and it was really fun. i had a good lunch.",288.67,290.07,1.39999999999998,11,471.428571428579,NA,"role_play","GUESTS",0,1,0,0
"55","Daring_Deeds",7,93,55,"prologue","MATT","i'm so glad. what'd you have?",290.07,291.175,1.10500000000002,9,488.687782805422,NA,"role_play","MATT",0,0,0,1
"56","Daring_Deeds",7,93,56,"prologue","NOELLE","falafel.",291.175,292.204,1.029,2,116.61807580175,NA,"role_play","GUESTS",0,1,0,0
"57","Daring_Deeds",7,93,57,"prologue","MATT","nice, good choice.",292.204,293.826,1.62200000000001,4,147.965474722563,NA,"role_play","MATT",0,0,0,1
"58","Daring_Deeds",7,93,58,"prologue","LIAM","hey look, this is a book that she made, and it's so good! and she signed it for me and i'm reading it to my kids and they love it!",293.826,299.598,5.77199999999999,33,343.035343035344,NA,"role_play","LIAM",1,0,0,0
"59","Daring_Deeds",7,93,59,"prologue","NOELLE","there's a bear in it.",299.598,300.608,1.00999999999999,7,415.84158415842,NA,"role_play","GUESTS",0,1,0,0
"60","Daring_Deeds",7,93,60,"prologue","LAURA","there is a bear in it!",300.608,302.017,1.40899999999999,7,298.08374733854,NA,"role_play","LAURA",1,0,0,0
