"episode","actor","time_stamp","description"
1,"Vex'ahlia","1:17:25","Charisma check: ""I'll fight this bear!"""
1,"Vax’ildan","2:25:08","Initiative vs. Goblins and Trolls"
1,"Percy","2:34:53","Insight vs. Fleeing goblins"
1,"Vax’ildan","2:38:41","1st Poison Dagger attack vs. Ogre"
1,"Keyleth","2:54:08","Con save vs. Naga poison"
2,"Vex’ahlia","0:42:08","Looking for entrance to House Thunderbrand"
2,"Vex’ahlia","1:15:54","Looking for tracks"
2,"Percy","1:56:49","Jamming second shot vs. Umber hulk"
2,"Grog","2:06:21","Confused attack vs. Tiberius (technically a win!"
3,"Vex’ahlia","0:23:32","Religion Check vs. Bahamut symbol"
3,"Keyleth","0:55:48","Check for bats"
3,"Percy","1:30:06","Intelligence check about Mind Flayers"
3,"Vax’ildan","1:54:14","Dex check vs. Fall (negated by advantage"
3,"Percy","2:29:15","Insight vs. Clarota"
4,"Grog","1:10:37","Stealth check"
4,"Pike","1:10:37","Stealth check"
4,"Keyleth","1:30:35","Secondary stealth check vs. Duergar Camp"
4,"Vax’ildan","1:44:30","Stealth vs. Mind Flayer (negated by advantage"
4,"Keyleth","2:11:01","Stealth check vs. Bulette"
5,"Vex’ahlia","0:53:30","Acrobatics vs. plummeting flying carpet"
5,"Vex’ahlia","1:10:05","Stealth vs. Duergar patrol"
6,"Scanlan","0:51:33","Stealth check approaching the red spire"
6,"Percy","1:00:51","Second communal stealth check (group succeeded overall"
6,"Vex'ahlia","1:09:50","Investigation vs. lava flow (negated by advantage"
6,"Vex'ahlia","1:35:05","Attack vs. Duergar guard"
6,"Vax’ildan","2:29:24","Picking Kima’s locks"
7,"Tiberius","0:21:30","Group Perception check for guards"
7,"Pike","1:07:23","Saving throw vs. Surprise Mind Blast"
7,"Vax’ildan","1:38:12","Perception vs. Duergar Armory"
8,"Trinket","1:05:25","Stealth check"
8,"Percy","1:37:05","Initiative Roll"
8,"Vax’ildan","1:47:47","Attack vs. Abyssal Abomination"
9,"Vex'ahlia","00:29:10","Attack vs. duergar"
9,"Vax'ildan","2:15:10","Con save vs. curse of gold dwarven armor"
9,"Vax'ildan","2:25:55","Perception check on beach"
10,"Vax’ildan","1:01:52","Attack vs. Cloaker in darkness (disadvantage"
10,"Percy","1:06:22","Wis save vs. Cloaker’s cry"
10,"Scanlan","2:52:54","Stealth Check (Negated by advantage, invisibility"
11,"Vex’ahlia","0:15:04","Acrobatics vs. Fomorian (negated by advantage"
11,"Vax’ildan","0:17:04","Con save vs. Fomorian’s “nasty ass scent”"
11,"Vax’ildan","0:22:58","Attack vs. Fomorian"
11,"Scanlan","0:45:20","Initiative vs. Fomorian"
11,"Scanlan","1:16:35","History check on Fomorians (strengths and weaknesses"
11,"Trinket","2:36:25","Stealth check while flying to the temple"
11,"Grog","4:14:22","Axe throw with chain of returning vs. K'varn (chain breaks"
11,"Vax'ildan","4:18:20","Dagger attack vs. K'varn (negated by Luck"
11,"Vax'ildan","4:18:33","Dagger attack vs. K'varn"
13,"Pike","0:50:01","Wis save vs. stun"
13,"Grog","0:57:12","Breaking the grapple vs. experiment"
14,"Percy","1:10:51","Insight check vs. Sovereign Uriel about Briarwoods"
15,"Pike","2:33:41","Attack vs. wyvern"
15,"Trinket","2:37:54","Attack vs. wyvern"
15,"Tiberius","2:55:14","Acrobatics to avoid falling down the stairs"
16,"Grog","0:14:50","Sleep check vs. Rope beard"
16,"Vex’ahlia","0:43:30","Stealth across Vasselheim’s rooftops"
16,"Vax’ildan","1:23:13","Perception check vs. mist room"
16,"Percy","2:17:25","Con save vs. Spider poison"
17,"Vax’ildan","2:22:27","Dagger against Hydra"
17,"Vex’ahlia","2:39:19","Misfiring the exploding arrow"
17,"Percy","2:45:46","Wis save vs. Hold Person"
18,"Zahra","0:49:50","Religion check on statue"
19,"Grog","0:16:10","Persuasion vs. frost giants"
19,"Grog","0:41:30","Persuasion vs. frost giants"
19,"Zahra","0:50:20","Perception check in mountain"
19,"Lyra","1:59:35","Initiative vs. Rimefang (-1 after modifier!"
20,"Thorbir","1:07:38","Intimidation vs. Bastion officers"
20,"Thorbir","1:23:01","History check on Lord Tirell"
20,"Thorbir","2:36:06","Axe vs. Door… But actually Wall"
20,"Kashaw","2:42:12","Perception vs. bedroom"
20,"Thorbir","2:58:59","Check for tracks (negated b/c advantage… for a 4."
21,"Thorbir","0:45:00","Attack vs. crotch-biting rat"
21,"Thorbir","1:13:00","Check during Kashaw’s history speech"
21,"Keyleth","1:29:40","Possessed attack vs. Kashaw"
21,"Thorbir","1:40:17","Attack vs. possessed Vax"
21,"Vax’ildan","1:45:56","Possessed attack vs. Thorbir (negated by advantage"
21,"Thorbir","2:50:55","Initiative vs. Hotis"
21,"Thorbir","2:59:55","Dex save vs. Shield Guardian’s Fireball"
21,"Thorbir","3:10:42","Attack vs. Shield Guardian"
22,"Grog","2:26:30","Perception vs. avalanche sources"
22,"Vax’ildan","2:28:56","Dex check vs. Ettin boulder"
22,"Vax’ildan","2:40:04","Perception to spot Pyrah"
22,"Tiberius","2:40:04","Perception to spot Pyrah"
22,"Keyleth","3:10:44","Wis check to find signs of mother (negated by advantage"
22,"Percy","3:19:15","Initiative vs. Fire Druid Elementals"
22,"Grog","3:19:15","Initiative vs. Fire Druid Elementals"
22,"Tiberius","3:22:07","Dex Save vs. Fire Elemental 1 attack"
22,"Vex’ahlia","4:12:35","Acrobatic check from portal"
22,"Tiberius","4:12:35","Acrobatic check from portal"
23,"Grog","1:06:31","Athletics check vs. Kern’s Grapple"
24,"Keyleth","0:59:15","Negotation vs. Sherri over books"
24,"Tiberius","2:06:45","Persuasion vs. Master Thunderbrand to re-enchant the carpet"
24,"Tiberius","2:41:10","Con save vs. Percy’s test run of Diplomacy"
25,"Vax'ildan","1:45:38","Dagger attack vs. Lord Briarwood"
26,"Vax’ildan","3:08:40","Stealth check above mountain (negated by advantage… for a 2."
27,"Grog","0:41:24","Holy oil punch vs. Invisible Stalker"
27,"Vax’ildan","1:15:12","Perception at breakfast vs. the Seeker"
27,"Vax’ildan","2:56:39","Int check vs. bridge to support Grog’s weight"
27,"Vax’ildan","3:02:27","Athletics check against the mountain winds"
27,"Tiberius","3:05:03","Perception check vs. harpies"
27,"Grog","3:21:31","Perception vs. Behir"
27,"Scanlan","3:21:31","Perception vs. Behir"
28,"Grog","1:33:00","Stealth vs. murder of crows"
