raw
"Naga Head 1 (Ep01, 2:52:50) Bite attack vs. Keyleth"
"Naga Head 3 (Ep01, 3:53:02) Bite attack vs. Keyleth"
"General (Ep04, 2:06:25) Save vs. Tiberius’s Blight"
"Duergar (Ep05, 0:44:58) Javelins vs. Grog"
"Duergar (Ep05, 0:45:04) Javelins vs. Grog AGAIN"
"Hook Horror (Ep05, 2:45:10) Saving vs. Domination"
"Duergar (Ep07, 2:31:07) Save vs. Lightning (negated by disadvantage)"
"Duergar (Ep07, 2:31:07) Save vs. Lightning (negated by disadvantage)"
"Grog (Ep07, 3:14:25) Critical Hit vs. Duergar Queen"
"Kima (Ep08, 1:48:49) Attack vs. Abyssal Abomination"
"Abyssal Abomination (Ep08, 2:03:30) Attack vs. Kima (negated by disadvantage)"
"Cloaker (Ep10, 0:56:10) Save vs. Tiberius’s fire breath (negated by disadvantage)"
"Wyvern (Ep15, 2:52:48) Stinger attack vs. Vax’ildan"
"Airship guard (Ep15, 3:08:16) Point-blank shot vs. Griffin"
"Hydra head (Ep17, 2:37:34) Attack vs. Grog"
"Direwolf (Ep18, 1:41:35) Attack vs. Grog with advantage"
"Rimefang (Ep19, 2:43:43) Tail attack vs. Scanlan (legendary action)"
"Rimefang (Ep19, 3:16:03) Tail attack vs. Percy (legendary action)"
"Rakshasa (Ep21, 3:38:19) Save vs. Stone Pillars"
"Fire Elemental 1 (Ep22, 3:41:48) Attack vs. Grog"
"Fire Elemental 2 (Ep22, 3:48:40) Dex save vs. Glacial Blast (negated by disadvantage)"
"Fire Elemental 3 (Ep22, 3:50:00) Attack vs. Pike"
"Kern (Ep23, 0:50:56) Punch to the torso (halved by Grog’s Stone Endurance)"
"Kern (Ep23, 0:59:40) Blinded attack (negated by disadvantage)"
"Kern (Ep23, 1:19:52) Third Attack vs. Grog to put him in the negative"
"Byron (Ep26, 3:36:01) Insight (Cynicism?) vs. Vex’s recommendation of Vasselheim"
"Vampire Spawn 2 (Ep30, 0:35:46) Bite Attack vs. Grog"
"Vampire Spawn 1 (Ep30, 1:11:04) Claw Attack vs. Percy"
"Guard (Ep30, 3:00:15) Dex save vs. Falling Triceratops"
"Duke’s Guard (Ep31, p1.0:28:08) Con save vs. Stinking Cloud"
"Count Tylieri (Ep31, p1.1:05:38) Claw attack vs. Grog"
"Count’s Guard (Ep31, p1.1:09:14) Crossbow vs. Grog"
"Count’s Guard (Ep31, p1.1:09:43) Crossbow vs. Grog (with advantage)"
"Count’s Guard (Ep31, p1.1:09:49) Crossbow vs. Grog (with advantage)"
"Skeleton (Ep32, 0:28:53) Dex save vs. Fiery Sphere"
"Zombie Giant 1 (Ep32, 1:04:18) Club attack vs. Grog"
"Guard (Ep32, 1:16:04) Attack vs. Zombie Giant 1"
"Guard (Ep32, 1:38:52) Attack vs Zombie Giant 2"
"Guard (Ep32, 1:39:02) Attack vs Zombie Giant 2"
"Helmed Horror (Ep33, p1.1:36:3) Attack vs. Vax (with advantage)"
"Helmed Horror (Ep33, p1.1:36:37) Attack vs. Vax (with advantage)"
"Sylas (Ep34, 3:07:58) Second strike vs. Percy (negated by disadvantage)"
"Sylas (Ep34, 3:07:59) Second strike vs. Percy (success, even WITH disadvantage!)"
"Sylas (Ep34, 3:16:13) Legendary Action Attack vs. Percy (negated by disadvantage)"
"Jasper the Farmer (Ep36, 1:17:27) Strength check vs. Grog"
"Daxio (Ep37, 3:52:57) Wis Save to shrug off Hold Person"
"Daxio (Ep37, 4:06:17) Athletics to break lasso grapple"
"Daxio (Ep37, 4:09:11) Fourth attack vs. Keyleth"
"Purple Worm (Ep39, 0:39:41) Bite vs. Scanlan (negated by disadvantage)"
"Frost Worm (Ep39, 1:14:33) Dex save vs. Pike’s Flame Strike"
"Warden Hume (Ep39, 2:49:19) Insight vs. Percy’s persuasion roll"
"Vorugal (Ep40, 1:01:59) Bite Attack against Pike"
"Looter 5 (Ep41, 1:23:59) Mace against Grog with advantage"
"Looter 6 (Ep41, 1:25:14) Mace against Keyleth"
"Looter 4 (Ep41, 1:48:19) Mace against Grog with advantage"
"Rider 4 (Ep42, 1:50:26) Club Attack against Scanlan with advantage"
"Wyvern 3 (Ep42, 2:08:31) Stinger Attack against Grog"
"Groon (Ep43, 3:07:03) Attack against Vax’ildan"
"Groon (Ep43, 3:27:45) Attack against Scanlan"
"KT1 (Ep44, 2:51:58) Dexterity Save"
"Beholder (Ep44, 3:54:14) Perception Check"
"Fire Elemental 1 (Ep46, 1:47:02) Strike against Gern"
"Orc 5 (Ep49, 0:57:05) Javelin against Percy"
"Direbear 2 (Ep49, 1:21:16) Bite Attack against Keyleth"
"Direbear 2 (Ep49, 1:21:20) Claw Attack against Keyleth"
"Sphinx (Ep49, 4:10:04) Claw Attack against Scanlan"
"Phase Spider (Ep49, 4:17:56) Attack against Vex’ahlia"
"Thug (Ep51, 0:39:17) Insight Check"
"Dr. Dranzel (Ep51, 1:05:35) Strength Check"
"Human (Ep51, 1:06:30) Wisdom Save against Hold Person"
"Kevdak (Ep51, 2:40:14) Strength Check"
"Kevdak (Ep52, 0:21:15) Initiative Roll"
"War Monger 2 (Ep52, 0:53:23) Attack against Grog with advantage"
"War Monger 1 (Ep52, 1:26:08) Attack with advantage against Grog"
"War Monger 4 (Ep52, 1:28:03) Attack against Pike"
"Blade of Storms 2 (Ep52, 1:33:33) Attack against Grog with advantage"
"Peasant (Ep52, 1:54:46) Dexterity Save"
"War Monger (Ep52, 2:15:57) Wisdom Save"
"War Monger (Ep52, 2:18:28) Attack of Opportunity against Pike"
"War Monger (Ep52, 2:29:46) Attack against Percy"
"Umbrasyl (Ep54, 3:20:53) Dexterity Save"
"Umbrasyl (Ep54, 4:04:40) Constitution Save"
"Umbrasyl (Ep55, 3:16:23) Tail Attack against Scanlan"
"Umbrasyl (Ep55, 3:33:49) Tail Attack against Keyleth (Legendary Action)"
"Assassin 2 (Ep58, 1:05:22) Dagger Attack against Percy"
"Mystic Iotha (Ep61, 3:00:20) Counterspell (disregarded)"
"Feymire Crocodile (Ep62, 1:39:30) Attack of Opportunity with disadvantage (disregarded)"
"Treant 1 (Ep63, 2:33:36) Slam against Percy"
"Saundor (Ep63, 3:28:43) Fenthras against Percy"
"Cobalt Golem (Ep66, 1:11:54) AoO Fist Attack"
"Male Gunner (Ep68, 2:07:49) Shot against Grog with advantage"
"Ripley (Ep68, 3:34:07) Shot against Percy "
"Kima (Ep70, 3:17:34) Holy Thunder Maul against Scanlan"
"Yenk (Ep71, 3:00:38) Perception Check"
"Vorugal (Ep71, 3:23:45) Strength Save"
"Yenk (Ep71, 4:22:43) Hoof (Cold) against Grog with advantage"
"Vorugal (Ep71, 4:31:11) Dexterity Save with disadvantage"
"Ghurrix (Ep76, 0:51:04) Strength Save against Keyleth’s Earthbind with advantage"
"Ghurrix (Ep76, 1:08:38) Tail against Vax’ildan (disregarded due to Luck)"
"Ghurrix (Ep76, 1:08:38) Tail against Vax’ildan with Luck"
"Ghurrix (Ep76, 2:08:49) Bite against Pike"
"Ember Roc (Ep77, 2:12:15) Bite against Pike"
"Wyvern Rider (Ep77, 2:32:10) Dexterity Save"
"Raishan (Ep79, 1:06:49) Dexterity Save"
"Thordak (Ep79, 1:17:44) Claw Attack against Grog with advantage (adv. not rolled)"
"Thordak (Ep79, 1:17:54) Tail Attack against Grog with advantage"
"Thordak (Ep79, 1:31:29) Constitution Saving Throw with disadvantage (disregarded)"
"Kima (Ep79, 2:02:28) Dexterity Save"
"Gilmore (Ep79, 2:02:52) Dexterity Save "
"Fire Elemental 1 (Ep79, 2:09:49) Slam Attack against Percy"
"Kima (Ep79, 2:25:27) Dexterity Save"
"Wyvern 2 (Ep79, 2:40:32) Stinger Attack against Vex’ahlia"
"Jarett (Ep79, 3:11:25) Crossbow against Thordak with disadvantage (disregarded)"
"Raishan (Ep80, 0:52:52) Counterspell"
"Gilmore (Ep80, 0:58:26) Dexterity Save"
"Raishan (Ep80, 1:40:35) Constitution Save"
"Allura (Ep82, 0:44:41) Stealth Check"
"Raishan (Ep83, 2:07:54) Concentration Check"
"Allura (Ep83, 2:23:32) Perception Check"
"Raishan (Ep83, 2:40:43) Claw Attack of Opportunity against Percy"
"Allura (Ep83, 3:48:27) Strength Check"
"Matt (Ep84, 0:43:59) Resurrection Ritual Roll"
"Groon (Ep85, 0:36:30) Unarmed Attack against Grog"
"Groon (Ep85, 0:45:46) Unarmed Attack against Grog"
"Groon (Ep85, 1:04:34) Unarmed Attack against Grog"
"Doty (Ep86, 2:00:23) Headbutt against Grog"
"Pirate 4 (Ep87, 1:07:52) Athletics Check"
"Crew 2 (Ep87, 1:13:46) Ballista against Pirate Ship"
"Crew 3 (Ep87, 1:15:36) Crossbow against Pirate 2 with disadvantage (disregarded)"
"Kraken (Ep88, 5:17:00) Tentacle against Grog "
"Cambion (Ep92, 2:48:04) Acrobatics Check"
"Utugash (Ep93, 1:21:55) Wisdom Save "
"Utugash (Ep93, 1:41:47) Wisdom Save"
"Utugash (Ep93, 1:47:35) Tail Attack against Keyleth with advantage"
"Spined Devil 2 (Ep93, 3:19:30) Tail against Vax’ildan"
"Gray Render (Ep94, 3:31:19) Claw against Vex’ahlia"
"JB (Ep96, 4:19:11) Dexterity Save"
"Skeleton (Ep100, 1:59:41) Dexterity Save"
"Minotaur Skeleton (Ep100, 4:05:00) Greataxe against Keyleth"
"Skeleton (Ep100, 4:40:47) Dexterity Save"
"War Priest (Ep100, 4:41:00) Dexterity Save"
"Black Guard (Ep100, 5:00:36) Wisdom Save"
"Vecna (Ep102, 3:52:08) Fire Bolt against Vex’ahlia with disadvantage (disregarded)"
"Guard Captain (Ep103, 2:55:51) Insight Check"
"Guard Captain (Ep103, 3:02:30) Insight Check"
"Shadow Ghast 2 (Ep105, 2:19:41) Claw against Scanlan"
Forge Guardian (Ep108 2:26:46) Dexterity Save
"Forge Guardian (Ep108, 2:37:24) Rune Blade against Vax’ildan"
"Forge Guardian (Ep108, 3:09:50) Blade Storm against Scanlan with disadvantage (disregarded)"
"Forge Guardian (Ep108, 3:15:31) Rune Blade against Grog with advantage"
"Forge Guardian (Ep108, 3:36:00) Rune Blade against Grog with advantage"
"Earth Elemental 3 (Ep110, 0:53:40) Constitution Save"
"Undead Troll 3 (Ep110, 2:58:19) Bite against Vax’ildan"
"Wraith (Ep111,  3:41:45) Dexterity Save"
"Viskorad (Ep111, 3:58:36) Dexterity Save"
"Gloomstalker (Ep113, 0:57:35) Athletics Check"
"Zombie (Ep113, 3:50:15) Attack against Vex’ahlia"
"Skeleton (Ep114, 0:52:50) Sword against Percy"
"Vecna (Ep114, 1:43:16) Intelligence Save with disadvantage (disregarded)"
"Vecna (Ep114, 3:16:28) Strength Save"
