"arc","arc_no","rp_combat","time","total_time","percent"
"Attack Conclave",4,"Combat",68348.771,237706.971,28.7533725714758
"Attack Conclave",4,"Role Play",169358.2,237706.971,71.2466274285242
"Briarwoods",3,"Combat",48633.763,182984.542,26.5780718242309
"Briarwoods",3,"Role Play",134350.779,182984.542,73.4219281757691
"Daring Deeds",7,"Combat",53344.501,232383.758,22.9553482821291
"Daring Deeds",7,"Role Play",179039.257,232383.758,77.0446517178709
"End",8,"Combat",60198.465,234734.888,25.6452994750401
"End",8,"Role Play",174536.423,234734.888,74.3547005249599
"Fall Conclave",6,"Combat",58681.033,236834.838,24.7771964190505
"Fall Conclave",6,"Role Play",178153.805,236834.838,75.2228035809495
"Kraghammer",1,"Combat",55335.602,164347.216,33.6699357292429
"Kraghammer",1,"Role Play",109011.614,164347.216,66.3300642707571
"Vasselheim",2,"Combat",27007.129,85700.493,31.5133881435198
"Vasselheim",2,"Role Play",58693.364,85700.493,68.4866118564802
"Vestiges",5,"Combat",32082.372,184271.57,17.4103753498166
"Vestiges",5,"Role Play",152189.198,184271.57,82.5896246501834
