"actor1","order","actor2","occurrence"
"Guests",1,"Guests",11
"Guests",1,"Laura",14
"Guests",1,"Liam",3
"Guests",1,"Marisha",4
"Guests",1,"Matt",2
"Guests",1,"Orion",2
"Guests",1,"Sam",6
"Guests",1,"Taliesin",6
"Guests",1,"Travis",6
"Ashley",2,"Laura",58
"Ashley",2,"Liam",4
"Ashley",2,"Marisha",24
"Ashley",2,"Matt",4
"Ashley",2,"Orion",3
"Ashley",2,"Sam",8
"Ashley",2,"Taliesin",8
"Ashley",2,"Travis",27
"Laura",3,"Liam",120
"Laura",3,"Marisha",172
"Laura",3,"Matt",37
"Laura",3,"Orion",7
"Laura",3,"Sam",88
"Laura",3,"Taliesin",101
"Laura",3,"Travis",127
"Liam",4,"Marisha",38
"Liam",4,"Matt",20
"Liam",4,"Orion",2
"Liam",4,"Sam",25
"Liam",4,"Taliesin",52
"Liam",4,"Travis",35
"Marisha",5,"Matt",29
"Marisha",5,"Orion",12
"Marisha",5,"Sam",51
"Marisha",5,"Taliesin",180
"Marisha",5,"Travis",37
"Matt",6,"Orion",4
"Matt",6,"Sam",29
"Matt",6,"Taliesin",25
"Matt",6,"Travis",35
"Orion",7,"Sam",2
"Orion",7,"Taliesin",9
"Orion",7,"Travis",2
"Sam",8,"Taliesin",67
"Sam",8,"Travis",32
"Taliesin",9,"Travis",53
