"Actor","miss_spelling","count"
"Ashley","amount miss spellings",10
"Ashley","types miss spellings",2
"Brian","amount miss spellings",2
"Brian","types miss spellings",1
"Giles","amount miss spellings",1
"Giles","types miss spellings",1
"Grog","amount miss spellings",1
"Grog","types miss spellings",1
"Jore","amount miss spellings",1
"Jore","types miss spellings",1
"Laura","amount miss spellings",5
"Laura","types miss spellings",2
"Marisha","amount miss spellings",29
"Marisha","types miss spellings",14
"Matt","amount miss spellings",16
"Matt","types miss spellings",2
"Orion","amount miss spellings",1
"Orion","types miss spellings",1
"Sam","amount miss spellings",1
"Sam","types miss spellings",1
"Taliesin","amount miss spellings",19
"Taliesin","types miss spellings",9
"Travis","amount miss spellings",28
"Travis","types miss spellings",6
