"actor_guest","mean_grade","sd_grade","min_grade","max_grade","int_score"
"Ashley",2.3722956230957,3.8433600783053,-11.6277708125143,26.49652414984,13
"Guests",3.41571834009993,3.86242976853618,-12.31049796776,20.61667231384,NA
"Laura",3.30622597883271,3.93744698822791,-13.48646833496,27.2867717794667,14
"Liam",3.70006792628136,3.85884058499663,-12.6107057175636,25.3268211674667,16
"Marisha",3.64927287374948,3.99640314105571,-11.13452760056,26.1712767046286,15
"Matt",6.05078956200367,3.75012049138127,-15.83840906936,32.1866483094667,NA
"Orion",3.30264465093323,3.91607369869383,-8.17579952808,21.79264268104,14
"Sam",3.317504683107,3.89835274255835,-12.29169581328,28.84846488424,16
"Taliesin",4.14351870762713,3.98230197645946,-12.4677496462286,23.8646924395,20
"Travis",3.12047638989519,3.97839867182954,-15.83840906936,22.96861304824,6
