"CR_GUEST","bing_sentiment_mean","afinn_sentiment_mean"
"Ashley",0.161234245980009,0.438504997827032
"Guests",0.180252583237658,0.497512437810945
"Laura",0.0746077032810271,0.0750356633380884
"Liam",0.00464821466300444,-0.0801817029368265
"Marisha",0.130381732612864,0.160885480216141
"Matt",0.0364393102862482,0.13312239870891
"Orion",0.267217630853994,0.594490358126722
"Sam",0.129151291512915,0.247426684793164
"Taliesin",0.0555657436273611,0.100495140289749
"Travis",0.04277102669601,-0.126782126112334
