"episode","sum_sentiment","mean_sentiment","sd_sentiment","pc_1","pc_20","dm_1","dm_20","face_palms","mean_natural_rolls","Ashley","Guests","number_rolls","time_in_hour","combat_time"
1,237.785853859357,0.0566966747399516,0.292051949342034,5,5,1,2,1,13,0,0,63,2.75910027777778,0.630608611111113
2,162.209862921196,0.0387876286277369,0.287492756897697,4,4,4,0,1,12.8076923076923,0,0,76,2.62734611111111,1.11292333333333
3,201.194752651208,0.0515091532645181,0.275043317571673,5,3,3,0,0,14.375,0,0,55,2.34474972222222,0.227066666666668
4,144.306622050441,0.0392671080409364,0.275406515888728,5,8,4,1,0,13.4769230769231,1,0,88,3.01547833333333,0.995196111111107
5,144.212684942743,0.0295094505714636,0.288788304553315,2,3,2,3,0,12.7916666666667,1,0,79,2.86533555555556,1.34789416666667
6,159.31131726206,0.0436110915034383,0.274254981596775,5,1,1,0,1,13.1904761904762,1,0,87,2.52553805555555,0.648535833333335
7,140.677481451909,0.0337194346720778,0.274458396485605,3,12,0,3,1,14.4942528735632,1,0,131,3.55636416666667,1.96910138888889
8,88.7149767633642,0.0465451084802541,0.283407977105165,3,3,3,2,1,13.2058823529412,1,0,85,1.49681805555555,1.07977083333333
9,180.97339066966,0.0526851210100903,0.266406877034566,3,4,0,0,0,12.8478260869565,0,0,61,2.75677055555556,0.689246388888889
10,253.607736975926,0.0476169239534221,0.269573339965884,3,5,0,1,1,14.08,1,0,76,4.36518555555556,0.753888888888888
11,334.731085633988,0.0492034522466542,0.268342016208718,9,8,0,0,1,13.2882882882883,1,0,152,10.1039119444444,2.48262666666667
13,222.407093122558,0.0564055524023732,0.275261200679011,2,3,0,0,2,14.3404255319149,1,0,73,3.22667027777778,1.56165166666667
14,299.382902034352,0.0966062930088259,0.277264781825721,1,1,0,0,1,12.4,1,0,10,2.46508611111112,0
15,300.372613749469,0.0711277797180841,0.282494313277418,3,3,0,2,2,13.2962962962963,1,0,78,3.7297675,1.37145833333333
16,260.21601282299,0.0698191609398953,0.273938456684631,4,6,0,0,1,13.5081967213115,1,0,80,2.59595138888889,0.298478611111112
17,142.663383062077,0.0411015220576423,0.262533099795091,3,7,0,1,9,14.1129032258065,0,0,86,3.81180666666667,1.141215
18,323.329612014462,0.0811977930724415,0.296838261514105,1,4,0,1,4,14.74,0,1,69,2.81375194444444,0.559839166666666
19,142.479472348708,0.0342498731607472,0.283254122988607,4,12,0,2,0,14.6987951807229,0,1,119,4.14141444444444,1.82110916666667
20,212.565464461158,0.0678039759046756,0.256368510761935,5,1,1,0,1,11.046511627907,0,1,59,3.01812888888889,0
21,138.077126415624,0.0315821423640493,0.265474924667294,8,8,1,1,9,13.0882352941176,0,1,147,4.52439472222222,2.19632305555556
22,242.803068549271,0.055803968869058,0.26547212020133,10,5,1,3,2,12.4757281553398,1,0,150,4.42398972222222,0.955441111111112
23,192.910782075655,0.0559323810019296,0.28447333224814,1,3,0,3,1,14.3255813953488,0,0,56,3.62098027777778,0.755228611111112
24,286.027323390319,0.0786870215654246,0.257551356788689,3,5,1,0,0,14.1818181818182,0,0,42,3.64836694444444,0
25,140.722481169497,0.0385013628370718,0.277927515808657,1,4,1,0,0,14.9811320754717,0,1,72,3.56016444444444,2.17625583333333
26,238.858196196674,0.0618163033635285,0.258357484543466,1,1,1,1,3,14.5882352941176,0,0,42,4.64925277777778,0.314742777777778
27,185.027804874946,0.0520472024964688,0.262793634361178,7,9,1,0,3,13.8591549295775,0,0,100,3.3354,0.6931225
