"episode","arc","arc_no","bing_sentiment_sum","afinn_sentiment_sum","pc_1","pc_20","dm_1","dm_20","face_palms"
1,"Kraghammer",1,229,483,5,5,1,2,1
2,"Vasselheim",2,27,50,4,4,1,0,1
3,"Briarwoods",3,196,353,5,3,0,0,0
4,"Attack_Conclave",4,232,590,5,8,1,1,0
5,"Attack_Conclave",4,-39,-100,2,3,1,3,0
6,"Vestiges",5,93,158,5,1,1,0,1
7,"Fall_Conclave",6,-153,-337,3,12,0,3,1
8,"Fall_Conclave",6,55,197,3,3,1,2,1
9,"Daring_Deeds",7,240,533,3,4,0,0,0
10,"Kraghammer",1,334,1090,3,5,0,1,1
11,"Kraghammer",1,162,383,9,8,0,0,1
13,"Kraghammer",1,208,353,2,3,1,0,2
14,"Kraghammer",1,353,806,1,1,0,0,1
15,"Kraghammer",1,201,484,3,3,0,2,2
16,"Kraghammer",1,299,749,4,6,1,0,1
17,"Vasselheim",2,88,217,3,7,1,1,9
18,"Vasselheim",2,438,1200,1,4,0,1,4
19,"Vasselheim",2,-62,-68,4,12,0,2,0
20,"Vasselheim",2,275,768,5,1,1,0,1
21,"Vasselheim",2,-229,-476,8,8,1,1,9
22,"Vasselheim",2,148,354,10,5,1,3,2
23,"Vasselheim",2,136,369,1,3,0,3,1
24,"Briarwoods",3,307,816,3,5,1,0,0
25,"Briarwoods",3,-58,-139,1,4,1,0,0
26,"Briarwoods",3,162,315,1,1,1,1,3
27,"Briarwoods",3,57,95,7,9,1,0,3
28,"Briarwoods",3,231,517,3,7,0,0,1
29,"Briarwoods",3,20,-52,3,8,1,0,1
30,"Briarwoods",3,-79,-171,6,1,2,3,0
31,"Briarwoods",3,-104,-257,2,6,6,5,0
32,"Briarwoods",3,-15,-21,6,4,3,5,2
33,"Briarwoods",3,-161,-420,5,12,0,2,0
34,"Briarwoods",3,-196,-507,7,10,0,3,1
35,"Briarwoods",3,10,-16,3,7,1,0,0
36,"Briarwoods",3,200,485,4,1,2,1,1
37,"Briarwoods",3,244,601,0,8,2,3,2
38,"Briarwoods",3,287,644,4,5,1,0,4
39,"Attack_Conclave",4,-67,-283,2,4,1,3,2
40,"Attack_Conclave",4,-28,-189,1,4,2,1,0
41,"Attack_Conclave",4,18,49,0,7,1,3,1
42,"Attack_Conclave",4,41,99,2,2,2,2,7
43,"Attack_Conclave",4,121,392,1,3,2,2,2
44,"Attack_Conclave",4,101,189,4,4,0,2,7
45,"Attack_Conclave",4,212,409,0,2,0,0,1
46,"Attack_Conclave",4,-5,-79,0,2,2,1,1
47,"Attack_Conclave",4,92,137,0,2,0,0,3
48,"Attack_Conclave",4,101,222,6,4,1,0,3
49,"Attack_Conclave",4,-110,-228,7,6,3,5,0
50,"Attack_Conclave",4,163,316,1,2,1,0,1
51,"Attack_Conclave",4,41,57,2,5,1,4,0
52,"Attack_Conclave",4,-252,-606,3,7,6,9,0
53,"Attack_Conclave",4,190,377,2,1,0,0,4
54,"Attack_Conclave",4,-37,-57,0,4,1,2,1
55,"Attack_Conclave",4,-242,-521,8,14,2,2,0
56,"Attack_Conclave",4,331,668,1,0,0,0,4
57,"Vestiges",5,339,806,3,0,0,0,1
58,"Vestiges",5,0,20,2,2,1,1,1
59,"Vestiges",5,196,492,1,3,0,0,4
60,"Vestiges",5,228,501,4,1,0,0,5
61,"Vestiges",5,58,-2,10,14,0,1,3
62,"Vestiges",5,-11,-25,5,5,0,1,0
63,"Vestiges",5,-43,-300,2,7,2,2,0
64,"Vestiges",5,133,311,1,3,0,0,1
65,"Vestiges",5,352,874,5,1,0,0,3
66,"Vestiges",5,149,326,9,5,2,1,0
67,"Vestiges",5,89,82,2,5,1,0,1
68,"Vestiges",5,-392,-960,8,12,3,2,1
69,"Vestiges",5,122,271,3,2,0,0,2
70,"Fall_Conclave",6,125,157,1,2,0,1,1
71,"Fall_Conclave",6,-140,-389,5,6,2,4,1
72,"Fall_Conclave",6,197,418,5,2,0,0,1
73,"Fall_Conclave",6,96,166,0,1,0,0,0
74,"Fall_Conclave",6,210,455,0,0,0,0,1
75,"Fall_Conclave",6,229,437,3,2,0,0,2
76,"Fall_Conclave",6,-109,-205,9,4,0,4,1
77,"Fall_Conclave",6,-164,-427,4,6,2,2,2
78,"Fall_Conclave",6,216,499,4,7,0,0,3
79,"Fall_Conclave",6,-232,-535,3,8,4,10,1
80,"Fall_Conclave",6,-21,-162,3,3,3,3,0
81,"Fall_Conclave",6,294,546,3,1,0,0,1
82,"Fall_Conclave",6,156,248,7,12,1,1,0
83,"Fall_Conclave",6,-175,-474,6,7,1,4,0
84,"Fall_Conclave",6,374,838,1,1,0,1,3
85,"Daring_Deeds",7,77,32,1,4,1,3,5
86,"Daring_Deeds",7,399,897,1,2,0,1,10
87,"Daring_Deeds",7,156,334,5,3,3,3,2
88,"Daring_Deeds",7,-70,-372,9,7,2,1,5
89,"Daring_Deeds",7,328,784,0,2,0,0,16
90,"Daring_Deeds",7,397,837,1,4,0,0,8
91,"Daring_Deeds",7,279,493,0,1,0,0,0
92,"Daring_Deeds",7,67,-105,5,5,0,1,1
93,"Daring_Deeds",7,-223,-554,4,4,2,4,4
94,"Daring_Deeds",7,339,863,1,2,2,1,8
95,"Daring_Deeds",7,377,864,4,2,0,0,7
96,"Daring_Deeds",7,298,700,3,2,2,1,3
97,"Daring_Deeds",7,223,435,0,4,0,0,7
98,"Daring_Deeds",7,204,351,1,11,0,0,3
99,"Daring_Deeds",7,202,533,2,3,0,0,6
100,"Kraghammer",1,76,112,5,14,1,5,1
101,"Kraghammer",1,201,413,0,1,0,0,1
102,"Kraghammer",1,-151,-596,5,6,3,1,0
103,"Kraghammer",1,126,237,1,2,0,2,6
104,"Kraghammer",1,250,578,2,2,1,0,0
105,"Kraghammer",1,30,90,2,6,1,1,1
106,"Kraghammer",1,191,400,0,3,0,0,2
107,"Kraghammer",1,95,179,2,7,0,0,0
108,"Kraghammer",1,-70,-181,6,7,2,5,1
109,"Kraghammer",1,28,43,3,4,0,0,20
110,"Kraghammer",1,-170,-386,3,9,1,2,4
111,"Kraghammer",1,-36,-239,10,9,0,2,2
112,"Kraghammer",1,3,-64,4,2,0,0,2
113,"Kraghammer",1,-80,-288,6,11,3,2,1
114,"Kraghammer",1,-309,-971,3,13,2,4,0
115,"Kraghammer",1,273,614,1,3,0,0,6
116,"Kraghammer",1,105,176,0,0,0,0,0
117,"Kraghammer",1,161,225,0,0,0,0,0
118,"Kraghammer",1,166,396,0,0,0,0,0
119,"Kraghammer",1,148,212,0,0,0,0,0
