"actor","word","count","log_odds_weighted","total_words","percent"
"Matt","righty",973,32.8749713299153,1788739,0.0543958621129187
"Matt","glances",193,27.2348490160831,1788739,0.0107897239340116
"Matt","you",74863,25.661475718918,1788739,4.185238874984
"Matt","as",19187,25.1807019716307,1788739,1.07265509389576
"Matt","impact",697,23.2232473150045,1788739,0.0389659978342285
"Ashley","i",2962,21.2793246120735,60462,4.89894479177004
"Orion","i",2761,20.8494514982594,55077,5.01298182544438
"Orion","the",1810,20.5381829271043,55077,3.28630825934601
"Taliesin","reload",72,18.9382209607096,296158,0.0243113473213622
"Ashley","the",1342,18.9079847430024,60462,2.21957593199034
"Laura","oh",4054,18.8393038165983,336343,1.20531719108172
"Orion","to",1628,17.7261485305839,55077,2.95586179348912
"Ashley","to",1723,17.698276596231,60462,2.84972379345705
"Ashley","you",1381,17.305129658293,60462,2.28407925639244
"Orion","and",1467,16.7965466106267,55077,2.66354376600033
"Taliesin","sharpshooter",182,16.606387465522,296158,0.0614536835067768
"Ashley","a",1450,16.1618399261127,60462,2.39820052264232
"Laura","bowstring",75,16.1583025786329,336343,0.0222986653505499
"Orion","you",863,16.1236842024623,55077,1.5668972529368
"Taliesin","i'm",4532,15.7517054263224,296158,1.53026425083908
"Travis","righty",2,15.5858342506095,228656,0.000874676369743195
"Liam","righty",1,15.2439140587374,265877,0.00037611376689221
"Marisha","righty",2,14.9258749163993,291884,0.000685203711063299
"Guests","i",2962,14.8952818248504,68015,4.35492170844667
"Laura","hunter's",295,14.8680604773071,336343,0.0877080837121629
"Laura","righty",1,14.7387684240832,336343,0.000297315538007332
"Taliesin","exterior",2,13.808928441084,296158,0.000675315203371173
"Travis","reckless",182,13.0140731671004,228656,0.0795955496466308
"Taliesin","grit",142,12.9710941999891,296158,0.0479473794393533
"Sam","oi",60,12.8436430243739,277127,0.0216507233145814
"Laura","we",5519,12.599074711933,336343,1.64088445426246
"Travis","frenzied",54,12.4810572109216,228656,0.0236162619830663
"Liam","flametongue",34,12.2717063715443,265877,0.0127878680743351
"Travis","bloodaxe",30,12.1158679423614,228656,0.0131201455461479
"Marisha","vanishes",1,11.8149925592243,291884,0.00034260185553165
"Marisha","druidcraft",51,11.7827428236499,291884,0.0174726946321141
"Sam","inspire",209,11.6318555515773,277127,0.0754166862124585
"Guests","to",2018,11.3702693493498,68015,2.96699257516724
"Liam","smite",45,11.3388356214337,265877,0.0169251195101494
"Guests","the",1843,11.0931562211809,68015,2.7096963905021
"Sam","interior",1,11.0439715066478,277127,0.000360845388576357
"Travis","slams",1,11.0253139851616,228656,0.000437338184871598
"Marisha","theoretically",44,10.9734324823522,291884,0.0150744816433926
"Marisha","gust",44,10.9674162066799,291884,0.0150744816433926
"Liam","slams",1,10.8090836729985,265877,0.00037611376689221
"Sam","sings",42,10.775601902596,277127,0.015155506320207
"Sam","slams",2,10.735918207322,277127,0.000721690777152713
"Liam","streaks",2,10.6547454485442,265877,0.000752227533784419
"Guests","occasionally",2,10.3797230378081,68015,0.00294052782474454
"Guests","you",1672,10.3471857237815,68015,2.45828126148644
