"word","n"
"can",24105
"right",23582
"going",19800
"just",19462
"yeah",19010
"okay",17460
"like",17349
"one",16767
"go",16095
"see",15503
"oh",14885
"get",12450
"know",12389
"back",10941
"now",10820
"well",9493
"guys",9056
"make",9024
"take",8029
"want",7626
"good",7411
"yes",7338
"way",7191
"two",7185
"us",7103
"little",7077
"damage",6909
"around",6369
"got",6168
"still",6166
"time",6053
"look",5993
"think",5935
"really",5612
"grog",5589
"roll",5493
"say",5207
"check",5099
"come",4999
"turn",4663
"side",4622
"points",4468
"hit",4423
"first",4283
"need",4240
"attack",4059
"looks",3881
"ahead",3830
"feet",3783
"something",3745
"thing",3692
"much",3657
"anything",3632
"people",3609
"bit",3595
"use",3573
"scanlan",3530
"actually",3521
"20",3451
"plus",3418
"find",3411
"wait",3375
"thank",3321
"try",3315
"sure",3279
"away",3266
"pike",3244
"point",3231
"three",3213
"shit",3156
"maybe",3084
"also",3080
"next",3038
"feel",3026
"goes",3020
"second",3020
"things",3014
"hand",2969
"keep",2964
"keyleth",2953
"looking",2923
"sorry",2909
"room",2882
"rest",2876
"mean",2849
"towards",2784
"hits",2709
"percy",2708
"put",2704
"long",2681
"great",2657
"ten",2640
"give",2628
"probably",2626
"spell",2612
"lot",2591
"move",2551
"kind",2528
"behind",2521
"head",2507
"god",2504
"even",2502
"ground",2497
"city",2469
"action",2463
"another",2444
"door",2438
"throw",2431
"vax",2396
"fine",2373
"five",2373
"left",2354
"across",2336
"cast",2317
"fire",2311
"hear",2310
"big",2297
"pretty",2267
"trinket",2265
"fucking",2253
"far",2249
"man",2205
"last",2202
"let",2172
"start",2160
"gonna",2150
"many",2150
"top",2131
"pull",2115
"face",2109
"wall",2085
"15",2010
"tell",2005
"dragon",1998
"help",1965
"watch",1964
"hold",1947
"small",1942
"end",1939
"cool",1918
"currently",1916
"front",1913
"forward",1898
"might",1896
"moment",1894
"saving",1888
"four",1886
"vex",1849
"fuck",1847
"open",1841
"half",1836
"coming",1820
"walk",1818
"though",1816
"trying",1809
"begin",1802
"place",1793
"run",1790
"said",1754
"form",1739
"already",1716
"bad",1712
"enough",1712
"takes",1710
"seems",1707
"part",1699
"made",1696
"level",1689
"within",1672
"never",1663
"everyone",1661
"giant",1658
"eyes",1650
"stone",1648
"nice",1642
"water",1642
"comes",1641
"else",1640
"tree",1633
"day",1626
"inside",1622
"light",1622
"almost",1609
"six",1602
"bonus",1589
"nothing",1580
"natural",1577
"19",1564
"guy",1555
"close",1553
"advantage",1548
"better",1532
"large",1503
"done",1500
"18",1496
"armor",1496
"love",1496
"talk",1495
"body",1488
"sort",1488
"eight",1476
"stay",1474
"air",1457
"work",1455
"past",1438
"kill",1437
"please",1431
"holding",1423
"getting",1419
"17",1397
"thought",1396
"hey",1388
"gold",1385
"30",1378
