"actor_guest","turns","total_turns","turns_percent","time","total_time","time_percent","words","total_words","words_percent"
"""And Remember",1,272686,0.000366722163954145,2.82799999999952,1548543.682,0.000182623198355442,5,3430387,0.000145756149379064
"""Go",1,272686,0.000366722163954145,1.81999999999971,1548543.682,0.00011752978111984,2,3430387,5.83024597516257e-05
"""We Can Go Home.""
Guests",1,272686,0.000366722163954145,2.23300000000017,1548543.682,0.000144200000681684,1,3430387,2.91512298758128e-05
"A Second Time.
Marisha",1,272686,0.000366722163954145,2.53299999999945,1548543.682,0.00016357304152557,2,3430387,5.83024597516257e-05
"A Short Ways Up.
Laura",1,272686,0.000366722163954145,1.88699999999972,1548543.682,0.000121856426908319,3,3430387,8.74536896274385e-05
"And I Guests Shout Out",1,272686,0.000366722163954145,22.1190000000006,1548543.682,0.0014283743014232,27,3430387,0.000787083206646947
"And I Guests Sing To Her",1,272686,0.000366722163954145,11.6000000000004,1548543.682,0.000749090912632092,22,3430387,0.000641327057267883
"Ashley",7370,272686,2.70274234834205,27232.142,1548543.682,1.75856466411258,55500,3430387,1.61789325810761
"Ashley Just Got
Taliesin",1,272686,0.000366722163954145,2.36000000000058,1548543.682,0.000152401254638975,2,3430387,5.83024597516257e-05
"But I'm So Proud.
Marisha",1,272686,0.000366722163954145,1.43299999999999,1548543.682,9.25385584311848e-05,4,3430387,0.000116604919503251
"But She Was
Sam",1,272686,0.000366722163954145,1.63000000000102,1548543.682,0.000105260188585434,4,3430387,0.000116604919503251
"But That's It.
Taliesin",1,272686,0.000366722163954145,2.30000000000109,1548543.682,0.000148526646470221,1,3430387,2.91512298758128e-05
"Can't Do Anything.
Laura",1,272686,0.000366722163954145,2.56000000000017,1548543.682,0.00016531661520157,4,3430387,0.000116604919503251
"For Old Time's Sake.
Sam",1,272686,0.000366722163954145,2.06700000000092,1548543.682,0.000133480251414756,4,3430387,0.000116604919503251
"Get It.
Laura",1,272686,0.000366722163954145,1.76000000000022,1548543.682,0.000113655172951086,1,3430387,2.91512298758128e-05
"Guests",6345,272686,2.32685213028905,29013.042,1548543.682,1.87356949224246,67339,3430387,1.96301466860736
"Heal!""
Laura",1,272686,0.000366722163954145,1.81999999999971,1548543.682,0.00011752978111984,2,3430387,5.83024597516257e-05
"Here's What I Guests Do",1,272686,0.000366722163954145,26.6400000000012,1548543.682,0.00172032602694131,29,3430387,0.000845385666398573
"Hmm",1,272686,0.000366722163954145,1.76700000000028,1548543.682,0.000114107210570782,1,3430387,2.91512298758128e-05
"I Did Not...
Sam",1,272686,0.000366722163954145,1.5010000000002,1548543.682,9.69297810224897e-05,3,3430387,8.74536896274385e-05
"I Guests Say",2,272686,0.00073344432790829,26.2360000000008,1548543.682,0.00169423699860478,34,3430387,0.000991141815777637
"I Love It.
Guests",1,272686,0.000366722163954145,2.03699999999981,1548543.682,0.000131542947330291,4,3430387,0.000116604919503251
"I Mean
Marisha",1,272686,0.000366722163954145,2.9330000000009,1548543.682,0.000189403762650907,4,3430387,0.000116604919503251
"I Need Sam
Sam",1,272686,0.000366722163954145,2.48999999999978,1548543.682,0.000160796239004628,5,3430387,0.000145756149379064
"I Think
Travis",1,272686,0.000366722163954145,3.45700000000033,1548543.682,0.00022324200732494,4,3430387,0.000116604919503251
"I'm So Excited.
Marisha",1,272686,0.000366722163954145,2.267,1548543.682,0.000146395611977318,1,3430387,2.91512298758128e-05
