"from","to","weights","type"
"Ashley","Guests",78,"hyperlink"
"Ashley","Laura",1891,"hyperlink"
"Ashley","Liam",1025,"hyperlink"
"Ashley","Marisha",1179,"hyperlink"
"Ashley","Orion",239,"hyperlink"
"Ashley","Sam",1627,"hyperlink"
"Ashley","Taliesin",864,"hyperlink"
"Ashley","Travis",1859,"hyperlink"
"Guests","Laura",1500,"hyperlink"
"Guests","Liam",741,"hyperlink"
"Guests","Marisha",1124,"hyperlink"
"Guests","Orion",159,"hyperlink"
"Guests","Sam",1421,"hyperlink"
"Guests","Taliesin",778,"hyperlink"
"Guests","Travis",847,"hyperlink"
"Laura","Liam",8978,"hyperlink"
"Laura","Marisha",8937,"hyperlink"
"Laura","Orion",1100,"hyperlink"
"Laura","Sam",9200,"hyperlink"
"Laura","Taliesin",7475,"hyperlink"
"Laura","Travis",8455,"hyperlink"
"Liam","Marisha",4745,"hyperlink"
"Liam","Orion",712,"hyperlink"
"Liam","Sam",4548,"hyperlink"
"Liam","Taliesin",3984,"hyperlink"
"Liam","Travis",3838,"hyperlink"
"Marisha","Orion",1162,"hyperlink"
"Marisha","Sam",5747,"hyperlink"
"Marisha","Taliesin",7958,"hyperlink"
"Marisha","Travis",5024,"hyperlink"
"Orion","Sam",833,"hyperlink"
"Orion","Taliesin",454,"hyperlink"
"Orion","Travis",628,"hyperlink"
"Sam","Taliesin",5917,"hyperlink"
"Sam","Travis",6058,"hyperlink"
"Taliesin","Travis",4895,"hyperlink"
