"from","to","weights","type"
"Guests","Laura",11,"hyperlink"
"Guests","Liam",3,"hyperlink"
"Guests","Marisha",4,"hyperlink"
"Guests","Orion",2,"hyperlink"
"Guests","Sam",4,"hyperlink"
"Guests","Taliesin",5,"hyperlink"
"Guests","Travis",6,"hyperlink"
"Ashley","Laura",49,"hyperlink"
"Ashley","Liam",4,"hyperlink"
"Ashley","Marisha",20,"hyperlink"
"Ashley","Matt",4,"hyperlink"
"Ashley","Orion",3,"hyperlink"
"Ashley","Sam",7,"hyperlink"
"Ashley","Taliesin",4,"hyperlink"
"Ashley","Travis",25,"hyperlink"
"Laura","Liam",107,"hyperlink"
"Laura","Marisha",144,"hyperlink"
"Laura","Matt",33,"hyperlink"
"Laura","Orion",7,"hyperlink"
"Laura","Sam",75,"hyperlink"
"Laura","Taliesin",69,"hyperlink"
"Laura","Travis",111,"hyperlink"
"Liam","Marisha",30,"hyperlink"
"Liam","Matt",19,"hyperlink"
"Liam","Orion",2,"hyperlink"
"Liam","Sam",17,"hyperlink"
"Liam","Taliesin",36,"hyperlink"
"Liam","Travis",28,"hyperlink"
"Marisha","Matt",19,"hyperlink"
"Marisha","Orion",8,"hyperlink"
"Marisha","Sam",47,"hyperlink"
"Marisha","Taliesin",140,"hyperlink"
"Marisha","Travis",26,"hyperlink"
"Matt","Orion",4,"hyperlink"
"Matt","Sam",27,"hyperlink"
"Matt","Taliesin",15,"hyperlink"
"Matt","Travis",28,"hyperlink"
"Orion","Sam",2,"hyperlink"
"Orion","Taliesin",4,"hyperlink"
"Orion","Travis",2,"hyperlink"
"Sam","Taliesin",61,"hyperlink"
"Sam","Travis",28,"hyperlink"
"Taliesin","Travis",41,"hyperlink"
