"episode","sum_sentiment","mean_sentiment","sd_sentiment","pc_1","pc_20","dm_1","dm_20","face_palms","mean_natural_rolls","Ashley","Guests","number_rolls","time_in_hour","combat_time"
1,237.557920465234,0.0566828729337232,0.292142808627754,5,5,1,2,1,13,0,0,63,2.75659194444444,0.630318055555557
2,161.932852630841,0.0387863120073871,0.287570325538187,4,4,4,0,1,12.8076923076923,0,0,76,2.62512416666667,1.11175222222222
3,201.744771401355,0.0516896672819254,0.275040930888402,5,3,3,0,0,14.375,0,0,55,2.34278583333333,0.227066666666668
4,143.985507787847,0.0392331083890592,0.275329642195276,5,8,4,1,0,13.4769230769231,1,0,88,3.01373194444444,0.99491833333333
5,144.212684942743,0.0295094505714636,0.288788304553315,2,3,2,3,0,12.7916666666667,1,0,79,2.86533555555556,1.34789416666667
6,158.872183114725,0.0436342167302183,0.274316202214442,5,1,1,0,1,13.1904761904762,1,0,87,2.52129611111111,0.648535833333335
7,140.642071255284,0.0337271154089409,0.274534100962254,3,12,0,3,1,14.4942528735632,1,0,131,3.55636416666667,1.96910138888889
8,88.7149767633642,0.0465451084802541,0.283407977105165,3,3,3,2,1,13.2058823529412,1,0,85,1.49681805555555,1.07977083333333
9,180.586140431687,0.0525876937774278,0.266388439143306,3,4,0,0,0,12.8478260869565,0,0,61,2.75554888888889,0.689246388888889
10,235.225630071085,0.0456394315232994,0.266113112604191,3,5,0,1,1,14.08,1,0,76,4.26143972222223,0.730085833333333
11,334.364867988201,0.0491785362535963,0.268408973462726,9,8,0,0,1,13.2882882882883,1,0,152,10.1039119444444,2.48262666666667
13,221.901283380715,0.0563201226854608,0.275348926166898,2,3,0,0,2,14.3404255319149,1,0,73,3.22367361111111,1.56165166666667
14,296.817903965305,0.0964007482836327,0.277044127520485,1,1,0,0,1,12.4,1,0,10,2.45906111111112,0
15,300.36732117382,0.0711433730871199,0.282526018134971,3,3,0,2,2,13.2962962962963,1,0,78,3.72913444444445,1.37145833333333
16,260.21601282299,0.0698191609398953,0.273938456684631,4,6,0,0,1,13.5081967213115,1,0,80,2.59595138888889,0.298478611111112
17,142.361011483669,0.0410380546219859,0.262570375858877,3,7,0,1,9,14.1129032258065,0,0,86,3.81180666666667,1.141215
18,323.329612014462,0.0811977930724415,0.296838261514105,1,4,0,1,4,14.74,0,1,69,2.81375194444444,0.559839166666666
19,141.808583191204,0.0340967980743459,0.2832235153962,4,12,0,2,0,14.6987951807229,0,1,119,4.14141444444444,1.82110916666667
20,212.551596956252,0.0678644945581904,0.256483759192604,5,1,1,0,1,11.046511627907,0,1,59,3.01609583333333,0
21,138.143695983582,0.0316118297445267,0.265531034235678,8,8,1,1,9,13.0882352941176,0,1,147,4.52362888888889,2.19555722222222
22,241.85137149288,0.0556363863567701,0.265391282343679,10,5,1,3,2,12.4757281553398,1,0,150,4.42261583333333,0.955441111111112
23,192.86146152194,0.0559505255358108,0.284544326334507,1,3,0,3,1,14.3255813953488,0,0,56,3.61645166666667,0.755228611111112
24,285.84465155551,0.0786800582316295,0.257509564450599,3,5,1,0,0,14.1818181818182,0,0,42,3.64690944444444,0
25,140.699476038386,0.0384950686835528,0.277930439330465,1,4,1,0,0,14.9811320754717,0,1,72,3.56016444444444,2.17625583333333
26,238.510936075657,0.0617424116167893,0.25845015389915,1,1,1,1,3,14.5882352941176,0,0,42,4.64860194444445,0.314091944444445
27,184.90553313135,0.0521007419361369,0.263008498532681,7,9,1,0,3,13.8591549295775,0,0,100,3.3354,0.6931225
28,153.026796150199,0.0335364444773612,0.266025305614465,3,7,0,0,1,13.3589743589744,0,0,102,3.05590527777778,0.674273055555556
29,110.765157552066,0.0239959180138791,0.258708806864134,3,8,1,0,1,14.2475247524752,0,0,127,3.83685722222222,1.1356075
30,103.865311118089,0.0327031836014133,0.26886343321134,6,1,2,3,0,12.5777777777778,0,0,58,2.88885111111111,0.688350555555556
