"mean","parameter","value"
0.726130221269392,"min_n",36
0.726130221269392,"mtry",2
0.728965130002106,"min_n",24
0.728965130002106,"mtry",5
0.726415586930833,"min_n",17
0.726415586930833,"mtry",6
0.72996253664272,"min_n",29
0.72996253664272,"mtry",10
0.7263376488999,"min_n",10
0.7263376488999,"mtry",3
0.722152888600738,"min_n",12
0.722152888600738,"mtry",7
0.732287081986506,"min_n",36
0.732287081986506,"mtry",9
0.731141367061384,"min_n",33
0.731141367061384,"mtry",11
0.713926632917484,"min_n",3
0.713926632917484,"mtry",5
0.728894950372646,"min_n",27
0.728894950372646,"mtry",7
0.715867441025392,"min_n",9
0.715867441025392,"mtry",1
0.712309621654159,"min_n",5
0.712309621654159,"mtry",9
0.721251221560176,"min_n",14
0.721251221560176,"mtry",13
0.716157248228707,"min_n",6
0.716157248228707,"mtry",6
0.728296554044306,"min_n",25
0.728296554044306,"mtry",8
0.728243549647588,"min_n",19
0.728243549647588,"mtry",3
0.731647898905605,"min_n",39
0.731647898905605,"mtry",10
0.730180654201266,"min_n",31
0.730180654201266,"mtry",12
0.726591448569532,"min_n",22
0.726591448569532,"mtry",11
0.72765867537699,"min_n",21
0.72765867537699,"mtry",4
