Episode,Air Date,Laura,Liam,Marisha,Taliesin,Travis,Sam,Ashley,Orion,,Guests,Skype,Live?,,Player Present,1
Total,,112,111,112,111,109,105,54,24,,23,24,3,,Player Absent,0
C1E001,3/12/2015,1,1,1,1,1,1,0,1,,0,,0,,,
C1E002,3/19/2015,1,1,1,1,1,1,0,1,,0,,0,,Player,Eps
C1E003,3/26/2015,1,1,1,1,1,1,0,1,,0,,0,,Marisha,112
C1E004,4/2/2015,1,1,1,1,1,1,1,1,,0,,0,,Laura,112
C1E005,4/9/2015,1,1,1,1,1,0,1,1,,0,,0,,Liam,111
C1E006,4/16/2015,1,1,1,1,1,1,1,1,,0,,0,,Taliesin,111
C1E007,4/23/2015,1,1,1,1,0,1,1,1,,0,,0,,Travis,109
C1E008,4/30/2015,1,1,1,1,0,1,1,1,,0,,0,,Sam,105
C1E009,5/7/2015,1,1,1,1,1,1,0,1,,0,,0,,Ashley,54
C1E010,5/14/2015,1,1,1,1,1,1,1,1,,0,,0,,Orion,24
C1E011,5/21/2015,1,1,1,1,1,1,1,1,,0,,0,,Guests,23
C1E013,6/4/2015,1,1,1,1,1,1,1,1,,0,,0,,,
C1E014,6/11/2015,1,1,1,1,1,0,1,1,,0,1,0,,Live (On stage),3
C1E015,6/25/2015,1,1,1,1,1,1,1,1,,0,1,0,,Skype Sessions,24
C1E016,7/2/2015,1,1,1,1,1,1,1,1,,0,1,0,,,
C1E017,7/23/2015,1,1,1,1,1,1,0,1,,0,,0,,,
C1E018,7/30/2015,1,0,0,1,1,1,0,0,,1,,0,,,
C1E019,8/6/2015,1,0,0,1,1,1,0,0,,1,,0,,,
C1E020,8/13/2015,0,1,1,0,0,0,0,1,,1,,0,,,
C1E021,8/20/2015,0,1,1,0,0,0,0,1,,1,,0,,,
C1E022,8/27/2015,1,1,1,1,1,0,1,1,,0,,0,,,
C1E023,9/10/2015,1,1,1,1,1,1,0,1,,0,,0,,,
C1E024,9/17/2015,1,1,1,1,1,1,,1,,0,,0,,,
C1E025,9/24/2015,1,1,1,1,1,1,0,1,,1,,0,,,
C1E026,10/1/2015,1,1,1,0,1,1,0,1,,0,,0,,,
C1E027,10/8/2015,1,1,1,1,1,1,0,1,,0,,0,,,
C1E028,10/15/2015,1,1,1,1,1,1,0,0,,0,,0,,,
C1E029,10/22/2015,1,1,1,1,1,1,0,0,,0,,0,,,
C1E030,10/29/2015,1,1,1,1,1,1,0,0,,0,,0,,,
C1E031,11/5/2015,1,1,1,1,1,1,0,0,,0,,0,,,
C1E032,11/12/2015,1,1,1,1,1,1,1,0,,0,1,0,,,
C1E033,11/19/2015,1,1,1,1,1,1,0,0,,0,,0,,,
C1E034,12/3/2015,1,1,1,1,1,1,1,0,,0,1,0,,,
C1E035,12/10/2015,1,1,1,1,1,1,1,0,,0,1,0,,,
C1E036,12/17/2015,1,1,1,1,1,1,0,0,,0,,0,,,
C1E037,1/7/2016,1,1,1,1,1,1,1,0,,0,,0,,,
C1E038,1/14/2016,1,1,1,1,1,1,1,0,,0,1,0,,,
C1E039,1/21/2016,1,1,1,1,1,1,0,0,,0,,0,,,
C1E040,1/28/2016,1,1,1,1,1,0,1,0,,0,1,0,,,
C1E041,2/4/2016,1,1,1,1,1,1,1,0,,1,1,0,,,
C1E042,2/11/2016,1,1,1,1,1,1,0,0,,0,,0,,,
C1E043,2/18/2016,1,1,1,1,1,1,0,0,,1,,0,,,
C1E044,3/10/2016,1,1,1,1,1,1,0,0,,1,,0,,,
C1E045,3/17/2016,1,1,1,1,1,1,0,0,,0,,0,,,
C1E046,3/24/2016,1,1,1,1,1,1,0,0,,ri,,0,,,
C1E047,3/31/2016,1,1,1,1,1,1,0,0,,0,1,0,,,
C1E048,4/7/2016,1,1,1,1,1,1,1,0,,0,1,0,,,
C1E049,4/14/2016,1,1,1,1,1,1,0,0,,0,,0,,,
C1E050,4/21/2016,1,1,1,1,1,1,1,0,,0,,0,,,
C1E051,4/28/2016,1,1,1,1,1,1,1,0,,0,,0,,,
C1E052,5/5/2016,1,1,1,1,1,1,1,0,,0,,0,,,
C1E053,5/12/2016,1,1,1,1,1,1,1,0,,0,,0,,,
C1E054,5/19/2016,1,1,1,1,1,1,1,0,,0,1,0,,,
C1E055,6/2/2016,1,1,1,1,1,1,1,0,,1,,0,,,
C1E056,6/9/2016,1,1,1,1,1,1,1,0,,1,,0,,,
C1E057,6/16/2016,1,1,1,1,1,1,1,0,,0,,0,,,
C1E058,6/23/2016,1,1,1,1,1,1,1,0,,0,,0,,,
C1E059,7/7/2016,1,1,1,1,1,1,1,0,,0,1,0,,,
C1E060,7/14/2016,1,1,1,1,1,1,0,0,,0,,1,,,
