Episode,Full time,Gameplay Time,Game 1st Half,Game 2nd Half,Mid Break,Critmas,Q&A,,1st start,1st end,2nd start,2nd end,Episode Link
Total,447:39:45,373:22:38,195:33:22,177:49:16,30:32:16,12:13:30,2:46:51,,19:54:07,,,,
Avg,3:55:37,3:16:31,1:42:55,1:37:53,0:16:49,,,,0:10:28,1:53:24,2:07:10,3:45:03,
,,,,,,,,,,,,,
C1E001,3:03:15,2:32:57,1:14:08,1:18:49,0:11:50,,,,0:17:32,1:31:40,1:43:30,3:02:19,1
C1E002,3:00:11,2:30:17,1:15:37,1:14:40,0:14:29,,,,0:13:25,1:29:02,1:43:31,2:58:11,2
C1E003,2:36:16,2:16:16,1:10:50,1:05:26,0:12:04,,,,0:04:30,1:15:20,1:27:24,2:32:50,3
C1E004,4:42:42,2:36:28,2:36:28,,,,1:30:55,,0:14:20,2:50:48,,,4
C1E005,3:09:41,2:35:24,1:08:34,1:26:50,0:15:09,0:01:03,,,0:15:36,1:24:10,1:39:19,3:06:09,5
C1E006,2:56:59,2:17:58,1:19:30,0:58:28,0:17:02,,,,0:19:09,1:38:39,1:55:41,2:54:09,6
C1E007,3:58:41,3:10:36,1:26:58,1:43:38,0:21:42,,,,0:18:23,1:45:21,2:07:03,3:50:41,7
C1E008,3:01:24,2:36:07,2:36:07,,,,,,0:15:48,2:51:55,,,8
C1E009,3:05:51,2:11:32,1:10:08,1:01:24,0:17:48,,,,0:21:40,1:31:48,1:49:36,2:51:00,9
C1E010,4:38:34,2:26:35,1:43:11,0:43:24,0:11:24,,1:15:56,,0:20:02,2:03:13,2:14:37,2:58:01,10
C1E011,4:48:50,4:14:15,1:27:28,2:46:47,0:11:20,0:08:29,,,0:10:12,1:37:40,1:49:00,4:35:47,11
C1E013,3:28:37,2:36:11,1:58:03,0:38:08,0:11:36,0:09:12,,,0:23:13,2:21:16,2:32:52,3:11:00,13
C1E014,3:21:14,2:24:21,1:15:45,1:08:36,0:19:18,,,,0:21:09,1:36:54,1:56:12,3:04:48,14
C1E015,4:09:01,3:03:52,1:23:04,1:40:48,0:23:24,0:30:40,,,0:07:13,1:30:17,1:53:41,3:34:29,15
C1E016,2:57:38,2:29:11,1:29:40,0:59:31,0:19:20,,,,0:08:22,1:38:02,1:57:22,2:56:53,16
C1E017,4:05:42,3:01:09,1:11:59,1:49:10,0:15:21,0:23:12,,,0:13:28,1:25:27,1:40:48,3:29:58,17
